,# correlated features
PF3D7_1480000.iso1.exon2.amp1_2445,529
PF3D7_1478700.4o4_351,211
PF3D7_1478400.3o3_405,87
PFD0425w_2780,59
PF3D7_1478000.2o2_4603,51
PF3D7_1472300.2o9_1380,30
PF3D7_1478800.2o2_3283,23
PF3D7_1478400.2o3_729,22
PF3D7_1478100.2o2_4908,17
PF3D7_1474200.iso1.exon1.amp2_2508,16
PF3D7_1478200.1o1_2299,13
PF3D7_1459600.iso1.exon2.amp1_2130,13
PF3D7_1478500.3o3_1010,12
PF3D7_1479600.iso1.exon2.amp1_139,9
PF3D7_1475400.e3s4_1159,9
PF3D7_1475400.e2s3_2131,8
PF3D7_1474200.iso1.exon1.amp4_3086,7
PF3D7_1476600.2o2_1110,5
PF3D7_1477600.2o3_797,4
PF3D7_1476900.2o2_2967,4
PF3D7_1477000.2o3_2356,3
PF3D7_1476600.e2_172,3
PF3D7_1468100.e2s2_1156,3
PF3D7_1464500.iso1.exon1.amp2_1073,3
PFE1590w_2119,2
PF3D7_1479100.iso1.exon1.amp1_3584,2
PF3D7_1478600.iso1.exon2.amp2_2488,2
PF3D7_1477600.1o3_1121,2
PF3D7_1477300.iso1.exon2.amp1_3285,2
PF3D7_1474200.iso1.exon1.amp5_1896,2
PF3D7_1470100.e1s3_3204,2
PF3D7_1470100.e1s2_1578,2
PF3D7_1470100.e1s1_1902,2
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,2
PF3D7_1373500.iso1.exon1.amp1_2457,2
PF3D7_1036400.e2s2_2150,2
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1479800.iso1.exon2.amp1_4468,1
PF3D7_1479700.iso1.exon2.amp1_4180,1
PF3D7_1477300.iso1.exon1.amp1_620,1
PF3D7_1477200.2o2_2953,1
PF3D7_1477000.1o1_4308,1
PF3D7_1476200.1o1_4286,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1474600.1o5_81,1
PF3D7_1448300.s1_3431,1
PF3D7_1447800.e1s2_2899,1
PF3D7_1443800.1o1_3332,1
PF3D7_1433400.e2s5_3746,1
PF3D7_1418100.s4_3419,1
PF3D7_1409400.1o1_3272,1
PF3D7_1401600.e2s1_4761,1
PF3D7_1371900.2o2_1654,1
PF3D7_1301600.iso1.exon4.amp2_1680,1
PF3D7_1233400.2o4_89,1
PF3D7_1215900.1o1_1409,1
PF3D7_1206900.4o4_2705,1
PF3D7_1016600.2o2_1688,1
PF3D7_1001700.2o2_4910,1
PF3D7_0930300.s1_5044,1
PF3D7_0712300.iso1.exon1.amp1_3615,1
PF3D7_0532500.2o2_997,1
PF3D7_0206900.1.e1_4416,1
