,# correlated features
PF3D7_1480000.iso1.exon2.amp1_2445,315
PF3D7_1478000.2o2_4603,106
PF3D7_1479100.iso1.exon1.amp1_3584,87
PF3D7_1472300.2o9_1380,53
PF3D7_1477600.2o3_797,49
PF3D7_1478200.1o1_2299,39
PF3D7_1479600.iso1.exon2.amp1_139,34
PF3D7_1478400.2o3_729,26
PF3D7_1478400.3o3_405,25
PF3D7_1475400.e2s3_2131,22
PF3D7_1478700.4o4_351,21
PF3D7_1478100.2o2_4908,21
PF3D7_1474200.iso1.exon1.amp4_3086,21
PFD0425w_2780,19
PF3D7_1478600.iso1.exon2.amp2_2488,16
PF3D7_1479400.iso1.exon2.amp1_140,13
PF3D7_1477200.2o2_2953,12
PF3D7_1476200.2o2_4237,11
PF3D7_1476200.1o1_4286,11
PF3D7_1479700.iso1.exon2.amp1_4180,10
PF3D7_1477000.1o1_4308,10
PF3D7_1474200.iso1.exon1.amp5_1896,10
PF3D7_1459600.iso1.exon2.amp1_2130,10
PF3D7_1477000.2o3_2356,9
PF3D7_1476900.2o2_2967,8
PF3D7_1373500.iso1.exon1.amp1_2457,8
PF3D7_1477700.2o2_3945,7
PF3D7_1477000.3o3_1390,7
PF3D7_1476600.2o2_1110,6
PF3D7_1475400.e3s4_1159,6
PF3D7_1471100.e2s1_4111,6
PF3D7_1418100.s4_3419,6
PF3D7_1479800.iso1.exon2.amp1_4468,5
PF3D7_1476300.2o2_440,5
PF3D7_1474200.iso1.exon1.amp2_2508,5
PF3D7_1470100.e1s2_1578,5
PF3D7_1448300.s2_1805,5
PF3D7_1478600.iso1.exon1.amp1_4398,4
PF3D7_1478500.3o3_1010,4
PF3D7_1477500.2o2_743,4
PF3D7_1470100.e1s1_1902,4
PF3D7_1464200.iso1.exon1.amp1_1857,4
PF3D7_1478800.2o2_3283,3
PF3D7_1476600.e2_172,3
PF3D7_1476100.1o1_1649,3
PF3D7_1460100.1o1_4266,3
PF3D7_0901000.iso1.exon1.amp1_3010,3
