,# correlated features
PF3D7_1480000.iso1.exon2.amp1_2445,137
PF3D7_1479100.iso1.exon1.amp1_3584,96
PF3D7_1479600.iso1.exon2.amp1_139,29
PF3D7_1470100.e1s2_1578,24
PF3D7_1401600.e3s1_1875,21
PF3D7_1477300.iso1.exon2.amp1_3285,18
PF3D7_1477300.iso1.exon1.amp1_620,18
PF3D7_1478000.2o2_4603,15
PF3D7_1474200.iso1.exon1.amp4_3086,15
PF3D7_1476200.1o1_4286,14
PF3D7_1474200.iso1.exon1.amp5_1896,12
PF3D7_1467000.1o1_2718,12
PF3D7_1426800.iso1.exon1.amp1_4156,11
PF3D7_1462600.2o2_4959,10
PF3D7_1420500.1o2_2101,10
PF3D7_1373500.iso1.exon1.amp1_2457,10
PF3D7_1448300.s2_1805,9
PF3D7_1427400.1.5o6_3314,9
PF3D7_1472300.2o9_1380,8
PF3D7_1418100.s4_3419,8
PF3D7_1478700.4o4_351,7
PF3D7_1477000.2o3_2356,7
PF3D7_1474200.iso1.exon1.amp2_2508,7
PF3D7_1478200.1o1_2299,6
PF3D7_1477600.2o3_797,6
PF3D7_1477000.1o1_4308,6
PF3D7_1428000.2o7_2677,6
PF3D7_1478600.iso1.exon1.amp1_4398,5
PF3D7_1474200.iso1.exon2.amp1_645,5
PF3D7_1472400.iso1.exon3.amp1_1827,5
PF3D7_1464500.iso1.exon1.amp3_212,5
PF3D7_1437500.1o1_1994,5
PF3D7_1400500.iso1.exon1.amp1_2435,5
PF3D7_1474600.1o5_81,4
PF3D7_1450400.iso1.exon1.amp1_3403,4
PF3D7_1433100.iso1.exon4.amp1_1798,4
PF3D7_1428000.1o7_3001,4
PF3D7_1305600.1o2_1998,4
PF3D7_1479700.iso1.exon2.amp1_4180,3
PF3D7_1478600.iso1.exon2.amp2_2488,3
PF3D7_1478400.3o3_405,3
PF3D7_1476900.2o2_2967,3
PF3D7_1476200.2o2_4237,3
PF3D7_1475400.e2s3_2131,3
PF3D7_1468100.e2s1_832,3
PF3D7_1464500.iso1.exon5.amp1_4080,3
PF3D7_1464500.iso1.exon1.amp4_2776,3
PF3D7_1464500.iso1.exon1.amp2_1073,3
PF3D7_1450400.iso1.exon1.amp2_1326,3
PF3D7_1433400.e1_4423,3
PF3D7_1415500.iso1.exon2.amp1_2259,3
PF3D7_1401400.1o1_2947,3
PF3D7_1373500.iso1.exon2.amp1_1082,3
PF3D7_1373100.iso1.exon1.amp1_3029,3
PF3D7_1372700.iso1.exon2.amp1_3891,3
PF3D7_1370300.1o2_3612,3
PF3D7_1358600.iso1.exon1.amp2_2507,3
PF3D7_1324300.e3_2147,3
PF3D7_1324300.3o3_804,3
PF3D7_1248700.s2_4724,3
PF3D7_1202300.e34s1_2180,3
PF3D7_1202300.e33s1_584,3
PF3D7_1202300.e10s1_885,3
PF3D7_1100400.iso1.exon2.amp1_3590,3
PF3D7_1479800.iso1.exon2.amp1_4468,2
PF3D7_1477500.2o2_743,2
PF3D7_1475400.e2s1_497,2
PF3D7_1474600.4o5_1047,2
PF3D7_1471100.e2s1_4111,2
PF3D7_1470100.e1s1_1902,2
PF3D7_1468100.e2s2_1156,2
PF3D7_1446300.iso1.exon1.amp1_1119,2
PF3D7_1436100.iso1.exon1.amp1_813,2
PF3D7_1433400.e2s5_3746,2
PF3D7_1433400.e2s3_3098,2
PF3D7_1426800.iso1.exon2.amp2_seg2_4322,2
PF3D7_1423400.iso1.exon4.amp2_seg2_2588,2
PF3D7_1400600.iso1.exon1.amp1_141,2
PF3D7_1400400.iso1.exon1.amp1_1285,2
PF3D7_1373400.iso1.exon2.amp1_2732,2
PF3D7_1372000.2o2_4629,2
PF3D7_1347300.iso1.exon2.amp1_2070,2
PF3D7_1346400.e1s4_829,2
PF3D7_1333300.1o1_44,2
PF3D7_1332100.1o1_4311,2
PF3D7_1324300.e1s5_822,2
PF3D7_1324100.1o1_3344,2
PF3D7_1318000.1o1_1002,2
PF3D7_1301900.iso1.exon1.amp1_2983,2
PF3D7_1301600.iso1.exon4.amp2_1680,2
PF3D7_1301500.2o2_4588,2
PF3D7_1300100.iso1.exon1.amp1_499,2
PF3D7_1255100.iso1.exon2.amp1_3024,2
PF3D7_1254200.iso1.exon2.amp1_1290,2
PF3D7_1240900.iso1.exon3.amp1_1880,2
PF3D7_1221400.e1s1_2196,2
PF3D7_1208200.e3s3_4840,2
PF3D7_1208200.e3s1_5164,2
PF3D7_1149500.e4_1827,2
PF3D7_1135300.1o1_2354,2
PF3D7_1123000.iso1.exon1.amp3_1921,2
PF3D7_1102700.iso1.exon1.amp1_375,2
PF3D7_1101500.iso1.exon1.amp1_3877,2
PF3D7_1101200.iso1.exon1.amp1_3319,2
PF3D7_1038400.e7s1_943,2
PF3D7_1022200.e4s1_235,2
PF3D7_1022200.e1s1_2508,2
PF3D7_1016600.2o2_1688,2
PF3D7_0900500.iso1.exon1.amp1_4464,2
PF3D7_0833500.iso1.exon3.amp1_3614,2
PF3D7_0725500.2o2_3003,2
PFE1590w_2119,1
PFD0425w_2780,1
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1479400.iso1.exon2.amp1_140,1
PF3D7_1478800.2o2_3283,1
PF3D7_1478500.3o3_1010,1
PF3D7_1478400.2o3_729,1
PF3D7_1478100.2o2_4908,1
PF3D7_1477700.2o2_3945,1
PF3D7_1477600.1o3_1121,1
PF3D7_1477200.2o2_2953,1
PF3D7_1477000.3o3_1390,1
PF3D7_1476600.e2_172,1
PF3D7_1476600.2o2_1110,1
PF3D7_1476300.2o2_440,1
PF3D7_1476100.1o1_1649,1
PF3D7_1475400.e3s4_1159,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1472400.iso1.exon2.amp1_4249,1
PF3D7_1471100.e3s1_2831,1
PF3D7_1470100.e1s3_3204,1
PF3D7_1468400.1o1_2724,1
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,1
PF3D7_1462600.1o2_3993,1
PF3D7_1460100.1o1_4266,1
PF3D7_1459900.1o1_360,1
PF3D7_1459600.iso1.exon2.amp1_2130,1
PF3D7_1459600.iso1.exon1.amp1_3337,1
PF3D7_1448300.s1_3431,1
PF3D7_1447800.e1s2_2899,1
PF3D7_1447800.e1s1_3223,1
PF3D7_1445800.2o3_481,1
PF3D7_1445600.e4_4738,1
PF3D7_1443800.1o1_3332,1
PF3D7_1433100.iso1.exon2.amp1_450,1
PF3D7_1433100.iso1.exon1.amp1_3540,1
PF3D7_1431900.1o10_2664,1
PF3D7_1427400.iso2.exon2.amp1_3218,1
PF3D7_1425600.s2_173,1
PF3D7_1420300.1o1_2655,1
PF3D7_1419400.e3s1_4118,1
PF3D7_1419400.e1s2_1898,1
PF3D7_1418100.s3_5039,1
PF3D7_1415500.iso1.exon2.amp2_230,1
PF3D7_1411100.iso1.exon5.amp1_335,1
PF3D7_1411100.iso1.exon2.amp1_4379,1
PF3D7_1409400.4o4_3913,1
PF3D7_1409400.1o1_3272,1
PF3D7_1401700.1o1_2648,1
PF3D7_1401600.e2s1_4761,1
PF3D7_1401200.2o2_55,1
PF3D7_1373000.iso1.exon2.amp1_1568,1
PF3D7_1372600.iso1.exon2.amp1_102,1
PF3D7_1371900.2o2_1654,1
PF3D7_1365700.1o3_3008,1
PF3D7_1363800.1o13_1410,1
PF3D7_1358500.1o1_755,1
PF3D7_1353100.e1s1_2486,1
PF3D7_1351300.2o2_1038,1
PF3D7_1349700.2o2_3937,1
PF3D7_1348400.iso1.exon3.amp1_3375,1
PF3D7_1348400.iso1.exon2.amp1_1215,1
PF3D7_1347300.iso1.exon4.amp1_2645,1
PF3D7_1346400.e1s6_4718,1
PF3D7_1338000.iso1.exon2.amp1_2056,1
PF3D7_1326900.iso1.exon1.amp1_2564,1
PF3D7_1325900.e1s3_3533,1
PF3D7_1325900.e1s2_3863,1
PF3D7_1325900.e1s1_1589,1
PF3D7_1321300.e1s4_5151,1
PF3D7_1321300.e1s3_2883,1
PF3D7_1321300.e1s2_3207,1
PF3D7_1321300.e1s1_3531,1
PF3D7_1313500.1o2_802,1
PF3D7_1302200.1o1_1666,1
PF3D7_1302100.e1s1_4129,1
PF3D7_1302000.2o2_2650,1
PF3D7_1301700.2o2_3930,1
PF3D7_1301400.2o2_2348,1
PF3D7_1300800.iso1.exon3.amp1_3282,1
PF3D7_1300600.iso1.exon1.amp1_4179,1
PF3D7_1300300.s2  (renamed)_3004,1
PF3D7_1300300.e2s1_4149,1
PF3D7_1300300.e1s2_816,1
PF3D7_1300300.e1s1_1140,1
PF3D7_1255200.iso1.exon1.amp1_3324,1
PF3D7_1254800.iso1.exon1.amp1_3017,1
PF3D7_1254700.iso1.exon1.amp1_2440,1
PF3D7_1254400.iso1.exon2.amp1_4171,1
PF3D7_1254000.iso1.exon2.amp1_1000,1
PF3D7_1253700.iso1.exon1.amp1_1002,1
PF3D7_1253200.2o2_1321,1
PF3D7_1253000.2o2_3977,1
