,# correlated features
PF3D7_1480000.iso1.exon2.amp1_2445,254
PF3D7_1479600.iso1.exon2.amp1_139,105
PF3D7_1478000.2o2_4603,99
PF3D7_1478700.4o4_351,98
PF3D7_1478400.3o3_405,75
PF3D7_1479100.iso1.exon1.amp1_3584,37
PF3D7_1478200.1o1_2299,37
PF3D7_1472300.2o9_1380,36
PF3D7_1478500.3o3_1010,34
PF3D7_1478100.2o2_4908,18
PF3D7_1477600.2o3_797,18
PF3D7_1476900.2o2_2967,12
PF3D7_1474200.iso1.exon1.amp5_1896,12
PF3D7_1373500.iso1.exon1.amp1_2457,12
PF3D7_1448300.s2_1805,11
PF3D7_1479700.iso1.exon2.amp1_4180,9
PF3D7_1426800.iso1.exon1.amp1_4156,9
PF3D7_1474200.iso1.exon1.amp2_2508,8
PF3D7_1479400.iso1.exon2.amp1_140,7
PF3D7_1477600.1o3_1121,7
PF3D7_1478400.2o3_729,6
PF3D7_1477300.iso1.exon1.amp1_620,6
PF3D7_1477000.2o3_2356,6
PF3D7_1474200.iso1.exon1.amp4_3086,6
PF3D7_1470100.e1s2_1578,6
PF3D7_1479800.iso1.exon2.amp1_4468,5
PF3D7_1478600.iso1.exon1.amp1_4398,5
PF3D7_1477700.2o2_3945,5
PF3D7_1477000.1o1_4308,5
PF3D7_1471100.e2s1_4111,5
PF3D7_1477300.iso1.exon2.amp1_3285,4
PF3D7_1475400.e2s3_2131,4
PF3D7_1474200.iso1.exon2.amp1_645,4
PF3D7_1464500.iso1.exon5.amp1_4080,4
PF3D7_1477200.2o2_2953,3
PF3D7_1476600.e2_172,3
PF3D7_1476600.2o2_1110,3
PF3D7_1476200.1o1_4286,3
PF3D7_1475400.e3s4_1159,3
PF3D7_1450400.iso1.exon1.amp1_3403,3
PF3D7_1401400.1o1_2947,3
PFD0425w_2780,2
PF3D7_1478800.2o2_3283,2
PF3D7_1477500.2o2_743,2
PF3D7_1476200.2o2_4237,2
PF3D7_1474600.4o5_1047,2
PF3D7_1474600.1o5_81,2
PF3D7_1468100.e2s2_1156,2
PF3D7_1468100.e2s1_832,2
PF3D7_1464500.iso1.exon1.amp4_2776,2
PF3D7_1464500.iso1.exon1.amp2_1073,2
PF3D7_1462600.1o2_3993,2
PF3D7_1459600.iso1.exon1.amp1_3337,2
PF3D7_1450400.iso1.exon2.amp1_1022,2
PF3D7_1450400.iso1.exon1.amp2_1326,2
PF3D7_1448300.s1_3431,2
PF3D7_1436100.iso1.exon1.amp1_813,2
PF3D7_1433100.iso1.exon2.amp1_450,2
PF3D7_1419400.e1s2_1898,2
PF3D7_1400300.iso1.exon1.amp1_2146,2
PF3D7_1373100.iso1.exon1.amp1_3029,2
PF3D7_1325900.e1s2_3863,2
PF3D7_1301900.iso1.exon1.amp1_2983,2
PF3D7_1301500.2o2_4588,2
PF3D7_1300300.s2  (renamed)_3004,2
PF3D7_1255100.iso1.exon2.amp1_3024,2
PF3D7_1200600.iso1.exon2.amp2_2516,2
PF3D7_1133200.e1s2_486,2
PF3D7_1101200.iso1.exon1.amp1_3319,2
PF3D7_1036400.e2s2_2150,2
PF3D7_0930300.s2_4726,2
PF3D7_0901000.iso1.exon1.amp1_3010,2
PF3D7_0207000.e1_2796,2
PFE1590w_2119,1
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1478600.iso1.exon2.amp2_2488,1
PF3D7_1476300.2o2_440,1
PF3D7_1476100.1o1_1649,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1470100.e1s3_3204,1
PF3D7_1470100.e1s1_1902,1
PF3D7_1464500.iso1.exon1.amp3_212,1
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,1
PF3D7_1464200.iso1.exon1.amp1_1857,1
PF3D7_1462600.2o2_4959,1
PF3D7_1460100.1o1_4266,1
PF3D7_1459900.1o1_360,1
PF3D7_1459600.iso1.exon2.amp1_2130,1
PF3D7_1447800.e1s2_2899,1
PF3D7_1447800.e1s1_3223,1
PF3D7_1446300.iso1.exon1.amp2_3943,1
PF3D7_1445600.e4_4738,1
PF3D7_1437500.1o1_1994,1
