,# correlated features
PF3D7_1480000.iso1.exon2.amp1_2445,19
PF3D7_1477300.iso1.exon2.amp1_3285,13
PF3D7_1200600.iso1.exon2.amp2_2516,9
PF3D7_1411100.iso1.exon2.amp1_4379,6
PF3D7_1474200.iso1.exon1.amp5_1896,5
PF3D7_1373100.iso1.exon1.amp1_3029,5
PF3D7_1253500.iso1.exon1.amp1_4445,5
PF3D7_1479700.iso1.exon2.amp1_4180,4
PF3D7_1479100.iso1.exon1.amp1_3584,4
PF3D7_1372700.iso1.exon2.amp1_3891,4
PF3D7_0730800.iso2.exon2.amp1_1557,4
PF3D7_1478600.iso1.exon2.amp2_2488,3
PF3D7_1474200.iso1.exon2.amp1_645,3
PF3D7_1433100.iso1.exon1.amp1_3540,3
PF3D7_1415500.iso1.exon2.amp1_2259,3
PF3D7_1353200.iso1.exon1.amp1_382,3
PF3D7_1326900.iso1.exon1.amp2_3081,3
PF3D7_1255100.iso1.exon2.amp1_3024,3
PF3D7_1243100.iso1.exon1.amp1_4148,3
PF3D7_1240400.iso1.exon1.amp1_2527,3
PF3D7_0901500.iso1.exon2.amp1_4476,3
PF3D7_0808700.iso1.exon1.amp1_3035,3
PF3D7_1479600.iso1.exon2.amp1_139,2
PF3D7_1478600.iso1.exon1.amp1_4398,2
PF3D7_1464500.iso1.exon5.amp1_4080,2
PF3D7_1464500.iso1.exon1.amp3_212,2
PF3D7_1411100.iso1.exon5.amp1_335,2
PF3D7_1372300.iso1.exon3.amp1_2716,2
PF3D7_1338000.iso1.exon2.amp1_2056,2
PF3D7_1255200.iso1.exon2.amp2_4544,2
PF3D7_1255200.iso1.exon2.amp1_4255,2
PF3D7_1255000.iso1.exon2.amp1_3890,2
PF3D7_1240300.iso1.exon1.amp2_2520,2
PF3D7_1201400.iso1.exon2.amp1_2637,2
PF3D7_1150400.iso1.exon1.amp2_2799,2
PF3D7_1134600.iso1.exon1.amp1_4017,2
PF3D7_1115900.iso1.exon4.amp1_48,2
PF3D7_1102700.iso1.exon1.amp1_375,2
PF3D7_1101500.iso1.exon1.amp1_3877,2
PF3D7_1041200.iso1.exon2.amp1_2153,2
PF3D7_1003400.iso1.exon1.amp1_4289,2
PF3D7_1000300.iso1.exon1.amp1_3601,2
PF3D7_1000100.iso1.exon1.amp2_1365,2
PF3D7_0824800.iso1.exon1.amp2_2213,2
PF3D7_0824700.iso1.exon16.amp1_3245,2
PF3D7_0808800.iso1.exon1.amp1_3594,2
PF3D7_0732500.iso1.exon1.amp1_135,2
PF3D7_0726400.e2s2_5148,2
PF3D7_0712600.iso1.exon2.amp1_3389,2
PF3D7_0704100.iso1.exon1.amp3_1683,2
PF3D7_0600200.iso1.exon2.amp1_425,2
PF3D7_0600200.iso1.exon1.amp3_1938,2
PFE1590w_2119,1
PFD0425w_2780,1
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1479800.iso1.exon2.amp1_4468,1
PF3D7_1479400.iso1.exon2.amp1_140,1
PF3D7_1478800.2o2_3283,1
PF3D7_1478700.4o4_351,1
PF3D7_1478500.3o3_1010,1
PF3D7_1478400.3o3_405,1
PF3D7_1478400.2o3_729,1
PF3D7_1478200.1o1_2299,1
PF3D7_1478100.2o2_4908,1
PF3D7_1478000.2o2_4603,1
PF3D7_1477700.2o2_3945,1
PF3D7_1477600.2o3_797,1
PF3D7_1477600.1o3_1121,1
PF3D7_1477500.2o2_743,1
PF3D7_1477300.iso1.exon1.amp1_620,1
PF3D7_1477200.2o2_2953,1
PF3D7_1477000.3o3_1390,1
PF3D7_1477000.2o3_2356,1
PF3D7_1477000.1o1_4308,1
PF3D7_1476900.2o2_2967,1
PF3D7_1476600.e2_172,1
PF3D7_1476600.2o2_1110,1
PF3D7_1476300.2o2_440,1
PF3D7_1476200.2o2_4237,1
PF3D7_1476200.1o1_4286,1
PF3D7_1476100.1o1_1649,1
PF3D7_1475400.e3s4_1159,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475400.e2s3_2131,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1475400.e2s1_497,1
PF3D7_1474600.4o5_1047,1
PF3D7_1474600.1o5_81,1
PF3D7_1474200.iso1.exon1.amp4_3086,1
PF3D7_1474200.iso1.exon1.amp2_2508,1
PF3D7_1472400.iso1.exon3.amp1_1827,1
PF3D7_1472400.iso1.exon2.amp1_4249,1
PF3D7_1472300.2o9_1380,1
PF3D7_1471500.6o6_387,1
PF3D7_1471100.e3s1_2831,1
PF3D7_1471100.e2s1_4111,1
PF3D7_1470100.e1s3_3204,1
PF3D7_1470100.e1s2_1578,1
PF3D7_1470100.e1s1_1902,1
PF3D7_1468400.1o1_2724,1
PF3D7_1468100.e2s2_1156,1
PF3D7_1468100.e2s1_832,1
PF3D7_1467000.1o1_2718,1
PF3D7_1464500.iso1.exon1.amp4_2776,1
PF3D7_1464500.iso1.exon1.amp2_1073,1
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,1
PF3D7_1464200.iso1.exon1.amp1_1857,1
PF3D7_1462600.2o2_4959,1
PF3D7_1462600.1o2_3993,1
PF3D7_1460100.1o1_4266,1
PF3D7_1459900.1o1_360,1
PF3D7_1459800.1o4_3952,1
PF3D7_1459600.iso1.exon2.amp1_2130,1
PF3D7_1459600.iso1.exon1.amp1_3337,1
PF3D7_1450400.iso1.exon2.amp1_1022,1
PF3D7_1450400.iso1.exon1.amp2_1326,1
PF3D7_1450400.iso1.exon1.amp1_3403,1
PF3D7_1448300.s2_1805,1
PF3D7_1448300.s1_3431,1
PF3D7_1447800.e1s2_2899,1
PF3D7_1447800.e1s1_3223,1
PF3D7_1446300.iso1.exon1.amp2_3943,1
PF3D7_1446300.iso1.exon1.amp1_1119,1
PF3D7_1445800.2o3_481,1
PF3D7_1445600.e4_4738,1
PF3D7_1443800.1o1_3332,1
PF3D7_1437500.1o1_1994,1
PF3D7_1436100.iso1.exon1.amp2_seg1_4042,1
PF3D7_1436100.iso1.exon1.amp1_813,1
PF3D7_1433400.e2s5_3746,1
PF3D7_1433400.e2s3_3098,1
PF3D7_1433400.e1_4423,1
PF3D7_1433100.iso1.exon2.amp1_450,1
PF3D7_1431900.1o10_2664,1
PF3D7_1428000.2o7_2677,1
PF3D7_1428000.1o7_3001,1
PF3D7_1427400.iso2.exon2.amp1_3218,1
PF3D7_1427400.1.e2_2788,1
PF3D7_1427400.1.5o6_3314,1
PF3D7_1426800.iso1.exon2.amp2_seg2_4322,1
PF3D7_1426800.iso1.exon1.amp1_4156,1
PF3D7_1425600.s2_173,1
PF3D7_1423400.iso1.exon4.amp1_seg2_282,1
PF3D7_1420500.1o2_2101,1
PF3D7_1420300.1o1_2655,1
PF3D7_1419400.e3s1_4118,1
PF3D7_1419400.e1s2_1898,1
PF3D7_1419400.e1s1_2222,1
PF3D7_1418100.s4_3419,1
PF3D7_1418100.s3_5039,1
PF3D7_1415500.iso1.exon2.amp2_230,1
PF3D7_1409400.4o4_3913,1
PF3D7_1409400.1o1_3272,1
PF3D7_1401700.1o1_2648,1
PF3D7_1401600.e3s1_1875,1
PF3D7_1401600.e2s1_4761,1
PF3D7_1401400.1o1_2947,1
PF3D7_1401200.2o2_55,1
PF3D7_1400800.iso1.exon1.amp1_3878,1
PF3D7_1400600.iso1.exon1.amp1_141,1
PF3D7_1400500.iso1.exon1.amp1_2435,1
PF3D7_1400400.iso1.exon1.amp1_1285,1
PF3D7_1400300.iso1.exon1.amp1_2146,1
PF3D7_1400200.iso1.exon1.amp1_2453,1
PF3D7_1373500.iso1.exon2.amp2_3678,1
PF3D7_1373500.iso1.exon2.amp1_1082,1
PF3D7_1373500.iso1.exon1.amp1_2457,1
PF3D7_1373300.iso1.exon2.amp1_4186,1
PF3D7_1373000.iso1.exon2.amp1_1568,1
PF3D7_1372600.iso1.exon2.amp1_102,1
PF3D7_1372000.2o2_4629,1
PF3D7_1371900.2o2_1654,1
PF3D7_1371800.iso1.exon3.amp1_3606,1
PF3D7_1370300.2o2_3288,1
PF3D7_1370300.1o2_3612,1
PF3D7_1365700.1o3_3008,1
PF3D7_1363800.1o13_1410,1
PF3D7_1359900.iso1.exon1.amp3_3361,1
PF3D7_1359900.iso1.exon1.amp1_242,1
PF3D7_1358600.iso1.exon1.amp2_2507,1
PF3D7_1358600.iso1.exon1.amp1_1754,1
PF3D7_1358500.1o1_755,1
PF3D7_1353100.e2s1_4135,1
PF3D7_1353100.e1s1_2486,1
PF3D7_1351300.2o2_1038,1
PF3D7_1349700.2o2_3937,1
PF3D7_1348400.iso1.exon3.amp4_1614,1
PF3D7_1348400.iso1.exon3.amp2_seg1_3168,1
PF3D7_1348400.iso1.exon3.amp1_3375,1
PF3D7_1348400.iso1.exon2.amp1_1215,1
PF3D7_1347300.iso1.exon2.amp1_2070,1
PF3D7_1346400.e1s6_4718,1
PF3D7_1346400.e1s4_829,1
PF3D7_1346400.e1s3_505,1
PF3D7_1346400.e1s1_2455,1
PF3D7_1342200.1o1_1766,1
PF3D7_1336300.1o1_59,1
PF3D7_1335600.e2_213,1
PF3D7_1333300.1o1_44,1
PF3D7_1332100.1o1_4311,1
PF3D7_1329500.iso1.exon3.amp1_730,1
PF3D7_1326900.iso1.exon1.amp1_2564,1
PF3D7_1325900.e1s3_3533,1
PF3D7_1325900.e1s2_3863,1
PF3D7_1325900.e1s1_1589,1
PF3D7_1324300.e3_2147,1
PF3D7_1324300.e1s6_4720,1
PF3D7_1324300.e1s5_822,1
PF3D7_1324300.3o3_804,1
PF3D7_1324100.1o1_3344,1
PF3D7_1321300.e1s4_5151,1
PF3D7_1321300.e1s3_2883,1
PF3D7_1321300.e1s2_3207,1
PF3D7_1321300.e1s1_3531,1
PF3D7_1318000.1o1_1002,1
PF3D7_1313500.1o2_802,1
PF3D7_1305600.1o2_1998,1
PF3D7_1302300.iso1.exon1.amp1_3260,1
PF3D7_1302200.1o1_1666,1
PF3D7_1302100.e1s1_4129,1
PF3D7_1302000.2o2_2650,1
PF3D7_1301900.iso1.exon1.amp1_2983,1
PF3D7_1301700.2o2_3930,1
PF3D7_1301600.iso1.exon4.amp2_1680,1
PF3D7_1301500.2o2_4588,1
PF3D7_1301400.2o2_2348,1
PF3D7_1300800.iso1.exon3.amp1_3282,1
PF3D7_1300700.iso1.exon1.amp1_2725,1
PF3D7_1300600.iso1.exon1.amp1_4179,1
PF3D7_1300500.iso1.exon2.amp1_995,1
PF3D7_1300400.iso1.exon2.amp1_1295,1
PF3D7_1300300.s2  (renamed)_3004,1
PF3D7_1300300.e2s1_4149,1
PF3D7_1300300.e1s2_816,1
PF3D7_1300300.e1s1_1140,1
PF3D7_1300100.iso1.exon2.amp1_1005,1
PF3D7_1300100.iso1.exon1.amp2_788,1
PF3D7_1300100.iso1.exon1.amp1_499,1
PF3D7_1255200.iso1.exon1.amp1_3324,1
PF3D7_1254800.iso1.exon1.amp1_3017,1
PF3D7_1254700.iso1.exon1.amp1_2440,1
PF3D7_1254500.iso1.exon2.amp1_114,1
PF3D7_1254400.iso1.exon2.amp1_4171,1
PF3D7_1254200.iso1.exon2.amp1_1290,1
PF3D7_1254000.iso1.exon2.amp1_1000,1
PF3D7_1253800.iso1.exon2.amp1_968,1
PF3D7_1253700.iso1.exon1.amp1_1002,1
PF3D7_1253300.3o3_1001,1
PF3D7_1253200.2o2_1321,1
PF3D7_1253000.2o2_3977,1
PF3D7_1252900.iso1.exon1.amp1_2115,1
PF3D7_1252800.2o2_1074,1
PF3D7_1252700.2o2_4620,1
PF3D7_1252500.2o2_4940,1
PF3D7_1250200.e1_2137,1
PF3D7_1249000.1o1_2382,1
PF3D7_1248700.s2_4724,1
PF3D7_1248300.1o1_1976,1
PF3D7_1245200.iso1.exon1.amp2_1335,1
PF3D7_1242300.iso1.exon7.amp1_894,1
PF3D7_1240900.iso1.exon4.amp1_3683,1
PF3D7_1240900.iso1.exon3.amp1_1880,1
PF3D7_1240600.iso1.exon2.amp1_2168,1
PF3D7_1240400.iso1.exon2.amp1_1013,1
