,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,3471
PFL2215w_4059,2464
PFL2430c_484,866
mal_mito_2.iso1.exon1.amp1_1466,131
PFL1550w_501,126
PFL0800c_2443,115
PFL0630w_2120,77
PFL0300c_1466,18
PFL0065w_4711,15
PFE0360c_827,14
PF3D7_1471700.iso1.exon1.amp1_2187,13
PFI1510w_2753,12
PFI1015w_3406,12
mal_mito_1.iso1.exon1.amp1_3777,10
PFI1105w_3411,7
PFE0885w_814,6
PFC10_API0059.iso1.exon1.amp1_short_1180,6
PFC10_API0032.iso1.exon1.amp1_1175,6
PF3D7_1478500.3o3_1010,5
PFI0645w_4388,4
PFE0265c_4373,4
PF3D7_1470500.5o6_2722,4
PFB0300c_4064,3
PF3D7_1479900.iso1.exon2.amp1_2142,3
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,3
PFI0570w_1477,2
PFE1230c_4387,2
PFC10_API0040.iso1.exon1.amp1_887,2
PFC0700c_2438,2
PF3D7_1479800.iso1.exon2.amp1_4468,2
PF3D7_1478800.2o2_3283,2
PF3D7_1478700.4o4_351,2
PF3D7_1470100.e1s3_3204,2
PFL0210c_2437,1
PFI1520w_1790,1
PFI1420w_169,1
PFI0145w_1465,1
PFE1590w_2119,1
PFE1195w_3427,1
PFE0520c_3401,1
PFE0225w_819,1
PFD0880w_2769,1
PFD0660w_3734,1
PFD0425w_2780,1
PFC10_API0042.iso1.exon1.amp1_20,1
PFC10_API0013.iso1.exon1.amp1_2909,1
PFC0450w_5035,1
PFC0365w_5020,1
PFC0330w_166,1
PFC0210c_2763,1
PFB0795w_4702,1
PF3D7_1478100.2o2_4908,1
PF3D7_1474400.iso1.exon11.amp1_4212,1
PF3D7_1474300.iso1.exon2.amp1_1611,1
PF3D7_1474000.iso1.exon1.amp3_3078,1
PF3D7_1473600.1o1_1975,1
PF3D7_1472300.2o9_1380,1
PF3D7_1471800.1o1_1020,1
PF3D7_1470800.iso1.exon2.amp2_4265,1
PF3D7_1470100.e1s1_1902,1
PF3D7_1466200.e1s1_3850,1
PF3D7_1459600.iso1.exon2.amp1_2130,1
PF3D7_1452600.iso1.exon1.amp1_2820,1
PF3D7_1450300.1o1_1428,1
PF3D7_1448400.2o2_449,1
PF3D7_1438800.4o4_4982,1
PF3D7_1356200.2o2_1000,1
PF3D7_1340300.iso1.exon1.amp1_4497,1
PF3D7_1333500.iso1.exon1.amp1_2747,1
PF3D7_1333400.1o1_1669,1
PF3D7_1329500.iso1.exon1.amp2_3671,1
PF3D7_1304300.1o1_4251,1
PF3D7_1243900.iso1.exon6.amp1_4142,1
PF3D7_1127900.3o3_2030,1
PF3D7_1036400.e2s2_2150,1
PF3D7_0519300.1o1_4973,1
PF3D7_0220400.2o3_4961,1
