,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,2826
PFL2215w_4059,1844
PFL0630w_2120,396
PFL1550w_501,274
mal_mito_2.iso1.exon1.amp1_1466,230
PFL0800c_2443,200
PFI1510w_2753,139
PFE0360c_827,101
PFL0065w_4711,98
PFE1230c_4387,64
PFL2430c_484,63
PFI1015w_3406,62
PFL0300c_1466,53
PFE1195w_3427,48
PFC10_API0040.iso1.exon1.amp1_887,43
PFE1495w_1o1_1645,41
mal_mito_1.iso1.exon1.amp1_3777,37
PFC10_API0038.iso1.exon1.amp1_4356,28
PFC10_API0042.iso1.exon1.amp1_20,27
PF3D7_1474400.iso1.exon11.amp1_4212,26
PFC10_API0037.iso1.exon1.amp1_3198,23
PF3D7_1474300.iso1.exon2.amp1_1611,22
PFI1105w_3411,21
PF3D7_1474200.iso1.exon1.amp2_2508,21
PF3D7_1480000.iso1.exon2.amp1_2445,20
PFI0645w_4388,18
PFI1420w_169,17
PFC10_API0041.iso1.exon1.amp1_3488,17
PF3D7_1465500.iso1.exon1.amp2_179,16
PFE0605c_2434,15
PFC10_API0059.iso1.exon1.amp1_short_1180,14
PF3D7_1472300.2o9_1380,14
PF3D7_1373500.iso1.exon1.amp1_2457,14
PFI0145w_1465,13
PFE0885w_814,13
PFC10_API0032.iso1.exon1.amp1_1175,12
PFE0520c_3401,11
PFD0425w_2780,11
PF3D7_1470100.e1s2_1578,11
PFC0700c_2438,10
PFC0555c_823,10
PF3D7_1479800.iso1.exon2.amp1_4468,10
PFE0265c_4373,9
PFD0660w_3734,9
PFE0795c_494,8
PFC10_API0020.iso1.exon1.amp1_598,8
PF3D7_1477900.3o3_787,8
PFE0225w_819,7
PF3D7_1477900.2o3_1111,7
PF3D7_1474200.iso1.exon1.amp4_3086,7
PFI0570w_1477,6
PFE1590w_2119,6
PFD0325w_2767,6
PFC10_API0028.iso1.exon1.amp1_4355,6
PF3D7_1479100.iso1.exon1.amp1_3584,6
PF3D7_1477800.iso1.exon1.amp1_2398,6
PF3D7_1477600.1o3_1121,6
PF3D7_1475100.iso1.exon1.amp2_2780,6
PF3D7_1473100.e2s1_4136,6
PFI1520w_1790,5
PFD0880w_2769,5
PFC10_API0030.iso1.exon1.amp1_3489,5
PF3D7_1478700.4o4_351,5
PF3D7_1478500.3o3_1010,5
PF3D7_1477000.1o1_4308,5
PF3D7_1459600.iso1.exon2.amp1_2130,5
PF3D7_1452600.iso1.exon1.amp1_2820,5
PFI0460w_1143,4
PFC10_API0029.iso1.exon1.amp1_308,4
PFC0330w_166,4
PF3D7_1474700.iso1.exon3.amp1_3912,4
PF3D7_1469600.e1s3_1163,4
PF3D7_1464500.iso1.exon1.amp2_1073,4
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,4
PF3D7_1461800.e1s1_4187,4
PF3D7_1461400.2o4_1355,4
PF3D7_1449500.iso1.exon2.amp1_2750,4
PFE0565w_4707,3
PFC10_API0036.iso1.exon1.amp1_1753,3
PFC0365w_5020,3
PFB0690w_4058,3
PF3D7_1479700.iso1.exon2.amp1_4180,3
PF3D7_1478800.2o2_3283,3
PF3D7_1478600.iso1.exon2.amp2_2488,3
PF3D7_1477900.e2_850,3
PF3D7_1477300.iso1.exon1.amp1_620,3
PF3D7_1476700.iso1.exon1.amp1_124,3
PF3D7_1476600.e2_172,3
PF3D7_1475400.e2s2_1145,3
PF3D7_1474400.iso1.exon2.amp1_2112,3
PF3D7_1473500.1o1_762,3
PF3D7_1470800.iso1.exon2.amp2_4265,3
PF3D7_1467100.iso1.exon1.amp1_1881,3
PF3D7_1462400.e1s2_1268,3
PF3D7_1448000.e2s2_1886,3
PF3D7_1447000.e3s1_1211,3
PF3D7_1441300.e5s1_931,3
PF3D7_1325900.e1s1_1589,3
PFL0210c_2437,2
PFD0711c_2o2_4567,2
PFC10_API0027.iso1.exon1.amp1_309,2
PFC10_API0018.iso1.exon1.amp1_2911,2
PFC10_API0012.iso1.exon1.amp1_short_596,2
PFC0450w_5035,2
PFB0795w_4702,2
PFA0350c_4054,2
PFA0270c_1142,2
PF3D7_1479900.iso1.exon2.amp1_2142,2
PF3D7_1479500.iso1.exon2.amp1_3581,2
PF3D7_1477600.2o3_797,2
PF3D7_1477500.2o2_743,2
PF3D7_1477400.2o2_1343,2
PF3D7_1476900.2o2_2967,2
PF3D7_1476200.2o2_4237,2
PF3D7_1476100.1o1_1649,2
PF3D7_1476000.iso1.exon2.amp1_896,2
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,2
PF3D7_1474600.4o5_1047,2
PF3D7_1474400.iso1.exon5.amp1_2085,2
PF3D7_1474400.iso1.exon14.amp1_99,2
PF3D7_1474000.iso1.exon1.amp2_1115,2
PF3D7_1474000.iso1.exon1.amp1_seg2_3196,2
PF3D7_1472200.e1s2_4411,2
PF3D7_1472100.1o6_3935,2
PF3D7_1471100.e2s1_4111,2
PF3D7_1471000.1o1_2032,2
PF3D7_1470500.5o6_2722,2
PF3D7_1469600.e1s4_4398,2
PF3D7_1468100.e2s2_1156,2
PF3D7_1468100.e2s1_832,2
PF3D7_1467600.iso1.exon2.amp2_3402,2
PF3D7_1467300.1o1_4950,2
PF3D7_1466200.e1s1_3850,2
PF3D7_1462400.e1s4_614,2
PF3D7_1456400.iso1.exon1.amp1_2473,2
PF3D7_1455700.1o2_153,2
PF3D7_1455600.iso1.exon1.amp1_2565,2
PF3D7_1446300.iso1.exon1.amp1_1119,2
PF3D7_1444100.e6s1_4483,2
PF3D7_1440000.iso1.exon5.amp2_seg1_4036,2
PF3D7_1439100.e1s2_1580,2
PF3D7_1432900.e1s1_4778,2
PF3D7_1423700.e1s1_610,2
PF3D7_1420800.iso1.exon2.amp1_3797,2
PF3D7_1405400.e1s1_1275,2
PF3D7_1340500.e1s2_1243,2
PF3D7_1139500.1.e1s1_1232,2
PF3D7_1036400.e2s2_2150,2
PFL0110c_2444,1
PFD0310w_3739,1
PFC0210c_2763,1
PFB0300c_4064,1
PF3D7_1478400.3o3_405,1
PF3D7_1478100.2o2_4908,1
PF3D7_1478000.2o2_4603,1
PF3D7_1477900.e1_3442,1
PF3D7_1477200.2o2_2953,1
PF3D7_1477000.2o3_2356,1
PF3D7_1476800.1o1_2017,1
PF3D7_1475800.1o2_2331,1
PF3D7_1475600.1o1_2067,1
PF3D7_1475400.e3s4_1159,1
PF3D7_1475400.e3s2_1807,1
PF3D7_1475300.1o1_1342,1
PF3D7_1474400.iso1.exon15.amp1_4083,1
PF3D7_1474200.iso1.exon2.amp1_645,1
PF3D7_1474200.iso1.exon1.amp5_1896,1
PF3D7_1474000.iso1.exon1.amp3_3078,1
PF3D7_1473700.iso1.exon1.amp2_768,1
PF3D7_1473700.iso1.exon1.amp1_251,1
PF3D7_1473300.iso1.exon1.amp1_1288,1
PF3D7_1473200.e1s1_244,1
PF3D7_1473000.1o1_4886,1
PF3D7_1472900.e1s1_4466,1
PF3D7_1472600.1o4_1729,1
PF3D7_1471900.iso1.exon1.amp2_3933,1
PF3D7_1471800.1o1_1020,1
PF3D7_1471700.iso1.exon1.amp1_2187,1
PF3D7_1471600.iso1.exon1.amp2_2504,1
