,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,1859
PFL0630w_2120,527
PFL0800c_2443,490
mal_mito_1.iso1.exon1.amp1_3777,466
mal_mito_2.iso1.exon1.amp1_1466,218
PFE0360c_827,180
PFL2215w_4059,176
PFI1510w_2753,132
PFI1015w_3406,124
PFE1230c_4387,114
PFE0605c_2434,106
PFE1195w_3427,100
PFC10_API0059.iso1.exon1.amp1_short_1180,94
PFC10_API0040.iso1.exon1.amp1_887,90
PFL0300c_1466,84
PFC10_API0032.iso1.exon1.amp1_1175,76
PF3D7_1479900.iso1.exon2.amp1_2142,70
PF3D7_1477900.e2_850,65
PFE0795c_494,61
PFE0520c_3401,59
PFC10_API0041.iso1.exon1.amp1_3488,58
PFL0210c_2437,54
PFB0795w_4702,54
PF3D7_1478000.2o2_4603,51
PFC10_API0038.iso1.exon1.amp1_4356,49
PFI0145w_1465,42
PFL2430c_484,38
PFC0700c_2438,38
PF3D7_1474400.iso1.exon11.amp1_4212,37
PFE0885w_814,36
PFC10_API0028.iso1.exon1.amp1_4355,36
PFC10_API0030.iso1.exon1.amp1_3489,34
PFC10_API0036.iso1.exon1.amp1_1753,28
PFC0365w_5020,28
PFI1420w_169,25
PF3D7_1477800.iso1.exon1.amp1_2398,25
PFI0570w_1477,22
PFD0660w_3734,21
PF3D7_1475500.e1s1_2881,21
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,21
PFD0880w_2769,20
PF3D7_1477900.2o3_1111,20
PF3D7_1474300.iso1.exon2.amp1_1611,19
PF3D7_1478700.4o4_351,18
PFB0490c_2762,17
PF3D7_1474200.iso1.exon1.amp4_3086,17
PFI1105w_3411,16
PF3D7_1475800.2o2_1359,15
PF3D7_1474200.iso1.exon1.amp2_2508,15
PF3D7_1373500.iso1.exon1.amp1_2457,15
PFC10_API0027.iso1.exon1.amp1_309,14
PF3D7_1478400.2o3_729,14
PF3D7_1477900.3o3_787,14
PF3D7_1473500.1o1_762,14
PF3D7_1469600.e1s3_1163,14
PFL0065w_4711,13
PF3D7_1478400.3o3_405,13
PF3D7_1475600.1o1_2067,13
PF3D7_1475400.e2s3_2131,13
PF3D7_1467900.e3s1_2130,13
PFI0645w_4388,12
PFD0310w_3739,12
PFC10_API0029.iso1.exon1.amp1_308,12
PF3D7_1477400.2o2_1343,12
PFE0225w_819,11
PFC10_API0013.iso1.exon1.amp1_2909,11
PF3D7_1477700.2o2_3945,11
PF3D7_1477600.2o3_797,11
PF3D7_1475500.e1s2_4831,11
PF3D7_1475100 (renamed)_3105,11
PFA0370w_3415,10
PF3D7_1476300.2o2_440,10
PF3D7_1475900.1o1_140,10
PFC10_API0018.iso1.exon1.amp1_2911,9
PFB0320c_1789,9
PF3D7_1478500.3o3_1010,9
PF3D7_1477500.2o2_743,9
PF3D7_1476600.2o2_1110,9
PFC0555c_823,8
PF3D7_1477000.1o1_4308,8
PF3D7_1475300.1o1_1342,8
PF3D7_1473400.1o1_3382,8
PF3D7_1466200.e1s1_3850,8
PF3D7_1448500.e1s2_1264,8
PFI0460w_1143,7
PF3D7_1479100.iso1.exon1.amp1_3584,7
PF3D7_1478100.2o2_4908,7
PF3D7_1476200.2o2_4237,7
PF3D7_1472300.2o9_1380,7
PF3D7_1471200.3o6_4002,7
PF3D7_1467300.1o1_4950,7
PF3D7_1466200.e1s3_3202,7
PF3D7_1461400.2o4_1355,7
PF3D7_1478600.iso1.exon2.amp2_2488,6
PF3D7_1477200.2o2_2953,6
PF3D7_1477000.2o3_2356,6
PF3D7_1476800.1o1_2017,6
PF3D7_1476400.2o2_3311,6
PF3D7_1473600.1o1_1975,6
PF3D7_1473100.e2s1_4136,6
PF3D7_1471300.1o5_3995,6
PF3D7_1471100.e2s1_4111,6
PFE1495w_1o1_1645,5
PFD0711c_2o2_4567,5
PFC0330w_166,5
PF3D7_1478200.1o1_2299,5
PF3D7_1477900.e1_3442,5
PF3D7_1477600.1o3_1121,5
PF3D7_1477300.iso1.exon2.amp1_3285,5
PF3D7_1476200.1o1_4286,5
PF3D7_1474400.iso1.exon4.amp1_938,5
PF3D7_1474200.iso1.exon1.amp5_1896,5
PF3D7_1469600.e1s1_515,5
PF3D7_1465500.iso1.exon1.amp2_179,5
PF3D7_1458800.1o1_2394,5
PF3D7_1449900.1o1_394,5
PF3D7_1432400.iso1.exon7.amp1_3249,5
PF3D7_1420800.iso1.exon2.amp1_3797,5
PFC10_API0042.iso1.exon1.amp1_20,4
PF3D7_1479800.iso1.exon2.amp1_4468,4
PF3D7_1477900.e3_4415,4
PF3D7_1476000.iso1.exon2.amp1_896,4
PF3D7_1475400.e2s1_497,4
PF3D7_1472600.1o4_1729,4
PF3D7_1471400.e2s1_5111,4
PF3D7_1471200.5o6_1091,4
PF3D7_1470500.6o6_3688,4
PF3D7_1469600.e1s4_4398,4
PF3D7_1468700.e2s1_889,4
PF3D7_1467900.e3s2_1812,4
PF3D7_1467100.iso1.exon1.amp1_1881,4
PF3D7_1466400.e1s1_288,4
PF3D7_1465800.e5s4_1267,4
PF3D7_1465800.e5s1_4508,4
PF3D7_1462400.e1s1_4179,4
PF3D7_1461600.e3s1_913,4
PF3D7_1459600.iso1.exon2.amp1_2130,4
PF3D7_1459000.1o1_1101,4
PF3D7_1434600.e1s1_1562,4
PF3D7_1415700.1o1_764,4
PF3D7_1412600.1o1_414,4
PF3D7_1362800.1o1_2396,4
PF3D7_1356200.2o2_1000,4
PFE0265c_4373,3
PFD0325w_2767,3
PFC10_API0020.iso1.exon1.amp1_598,3
PFB0690w_4058,3
PFA0270c_1142,3
PF3D7_1480000.iso1.exon2.amp1_2445,3
PF3D7_1479500.iso1.exon2.amp1_3581,3
PF3D7_1479400.iso1.exon2.amp1_140,3
PF3D7_1478800.2o2_3283,3
PF3D7_1476900.2o2_2967,3
PF3D7_1476100.1o1_1649,3
PF3D7_1475400.e3s4_1159,3
PF3D7_1475000.1o1_3596,3
PF3D7_1474700.iso1.exon3.amp1_3912,3
PF3D7_1474600.4o5_1047,3
PF3D7_1472500.iso1.exon1.amp1_2649,3
PF3D7_1472400.iso1.exon3.amp1_1827,3
PF3D7_1471000.1o1_2032,3
PF3D7_1470800.iso1.exon2.amp2_4265,3
PF3D7_1470800.iso1.exon2.amp1_3976,3
PF3D7_1470600.2o3_2049,3
PF3D7_1470100.e1s1_1902,3
PF3D7_1469400.1o1_82,3
PF3D7_1469100.1o1_1993,3
PF3D7_1468400.1o1_2724,3
PF3D7_1468200.1o1_3610,3
PF3D7_1467400.1o1_3632,3
PF3D7_1465800.e4s1_4704,3
