,# correlated features
mal_mito_3.iso1.exon1.amp1_4066,2209
PFL0630w_2120,785
mal_mito_2.iso1.exon1.amp1_1466,442
PFL0800c_2443,355
PFL0300c_1466,194
PFE1230c_4387,146
PFL0065w_4711,125
PFL2430c_484,105
PFD0711c_2o2_4567,90
PFI1420w_169,86
PFC10_API0040.iso1.exon1.amp1_887,84
mal_mito_1.iso1.exon1.amp1_3777,82
PFI1015w_3406,79
PFC10_API0037.iso1.exon1.amp1_3198,75
PF3D7_1474200.iso1.exon1.amp2_2508,70
PFE0265c_4373,63
PFE0520c_3401,62
PFE0360c_827,56
PFI1510w_2753,49
PFI1105w_3411,39
PFE0225w_819,38
PFE1195w_3427,36
PFI0460w_1143,30
PFC0450w_5035,29
PF3D7_1477900.2o3_1111,29
PFB0490c_2762,28
PFD0880w_2769,26
PFC10_API0038.iso1.exon1.amp1_4356,26
PF3D7_1474400.iso1.exon11.amp1_4212,26
PF3D7_1473100.e2s1_4136,26
PFI0145w_1465,24
PF3D7_1465500.iso1.exon1.amp2_179,24
PF3D7_1477900.e3_4415,23
PF3D7_1474300.iso1.exon2.amp1_1611,22
PF3D7_1473300.iso1.exon1.amp1_1288,20
PFE1495w_1o1_1645,18
PFC10_API0030.iso1.exon1.amp1_3489,18
PFD0310w_3739,17
PFC10_API0018.iso1.exon1.amp1_2911,17
PFC10_API0028.iso1.exon1.amp1_4355,16
PFC10_API0027.iso1.exon1.amp1_309,16
PF3D7_1477400.2o2_1343,15
PF3D7_1479700.iso1.exon2.amp1_4180,14
PF3D7_1476200.2o2_4237,14
PF3D7_1455600.iso1.exon1.amp1_2565,14
PFB0320c_1789,13
PFE0605c_2434,12
PFA0370w_3415,12
PF3D7_1477900.e2_850,12
PF3D7_1475100.iso1.exon1.amp1_seg2_2046,12
PF3D7_1472300.2o9_1380,12
PF3D7_1471000.1o1_2032,12
PF3D7_1448300.s2_1805,12
PFL1550w_501,11
PFI0645w_4388,11
PFC10_API0041.iso1.exon1.amp1_3488,11
PFB0795w_4702,11
PF3D7_1479900.iso1.exon2.amp1_2142,11
PF3D7_1477300.iso1.exon2.amp1_3285,11
PF3D7_1475600.1o1_2067,11
PF3D7_1471900.iso1.exon1.amp1_1951,11
PFL0210c_2437,10
PFC0365w_5020,10
PF3D7_1480000.iso1.exon2.amp1_2445,10
PF3D7_1478600.iso1.exon2.amp2_2488,10
PF3D7_1477600.1o3_1121,10
PF3D7_1477000.1o1_4308,10
PF3D7_1476400.2o2_3311,10
PF3D7_1475500.e1s2_4831,10
PF3D7_1474400.iso1.exon8.amp1_2689,10
PF3D7_1474200.iso1.exon1.amp4_3086,10
PFC10_API0013.iso1.exon1.amp1_2909,9
PF3D7_1478500.3o3_1010,9
PF3D7_1478400.2o3_729,9
PF3D7_1475800.2o2_1359,9
PF3D7_1475400.e2s3_2131,9
PF3D7_1459800.1o4_3952,9
PFE0795c_494,8
PFD0660w_3734,8
PF3D7_1478400.3o3_405,8
PF3D7_1477200.2o2_2953,8
PF3D7_1476800.1o1_2017,8
PF3D7_1476200.1o1_4286,8
PF3D7_1475500.e1s1_2881,8
PF3D7_1470100.e1s1_1902,8
PF3D7_1464300.iso1.exon2.amp1_3855,8
PF3D7_1373500.iso1.exon1.amp1_2457,8
PFC10_API0029.iso1.exon1.amp1_308,7
PFC0330w_166,7
PF3D7_1478700.4o4_351,7
PF3D7_1476700.iso1.exon1.amp1_124,7
PF3D7_1476300.2o2_440,7
PF3D7_1475400.e3s2_1807,7
PF3D7_1471200.1o6_4326,7
PF3D7_1470500.5o6_2722,7
PF3D7_1469600.e1s2_839,7
PF3D7_1466200.e1s1_3850,7
PF3D7_1442400.e1s3_4497,7
PFD0325w_2767,6
PF3D7_1479800.iso1.exon2.amp1_4468,6
PF3D7_1478000.2o2_4603,6
PF3D7_1476600.2o2_1110,6
PF3D7_1474200.iso1.exon1.amp5_1896,6
PF3D7_1473400.1o1_3382,6
PF3D7_1472800.3o7_3312,6
PF3D7_1471400.e2s1_5111,6
PF3D7_1468200.1o1_3610,6
PF3D7_1468100.e2s2_1156,6
PF3D7_1464500.iso1.exon1.amp4_2776,6
PF3D7_1461900.e1s1_4475,6
PF3D7_1451800.1o4_1114,6
PF3D7_1449500.iso1.exon2.amp1_2750,6
PF3D7_1419200.e1s1_582,6
PFI1520w_1790,5
PFI0570w_1477,5
PFC10_API0059.iso1.exon1.amp1_short_1180,5
PFC0555c_823,5
PF3D7_1478200.1o1_2299,5
PF3D7_1477900.e1_3442,5
PF3D7_1477600.2o3_797,5
PF3D7_1477000.2o3_2356,5
PF3D7_1476600.e2_172,5
PF3D7_1475700.1o1_422,5
PF3D7_1474600.4o5_1047,5
PF3D7_1471300.1o5_3995,5
PF3D7_1471200.5o6_1091,5
PF3D7_1471200.3o6_4002,5
PF3D7_1469600.e1s4_4398,5
PF3D7_1468900.1o1_3046,5
PF3D7_1467300.1o1_4950,5
PF3D7_1465800.e6s1_2501,5
PF3D7_1465300.1o6_4020,5
PF3D7_1459600.iso1.exon1.amp1_3337,5
PF3D7_1457300.e1s1_596,5
PF3D7_1453900.1o1_151,5
PF3D7_1452900.e3s1_1537,5
PF3D7_1451400.iso1.exon1.amp1_seg1_3165,5
PF3D7_1448000.e2s2_1886,5
PFC10_API0020.iso1.exon1.amp1_598,4
PF3D7_1479600.iso1.exon2.amp1_139,4
PF3D7_1477500.2o2_743,4
PF3D7_1477000.3o3_1390,4
PF3D7_1476900.2o2_2967,4
PF3D7_1476000.iso1.exon2.amp1_896,4
PF3D7_1475900.1o1_140,4
PF3D7_1475400.e3s4_1159,4
PF3D7_1475100 (renamed)_3105,4
PF3D7_1473200.e1s1_244,4
PF3D7_1471100.e2s1_4111,4
PF3D7_1470500.6o6_3688,4
PF3D7_1467600.iso1.exon1.amp1_1321,4
PF3D7_1467000.1o1_2718,4
PF3D7_1466300.e1s1_205,4
PF3D7_1462600.1o2_3993,4
PF3D7_1457900.e1s2_5165,4
PF3D7_1448600.1o1_690,4
PF3D7_1442900.s2_3430,4
PF3D7_1424400.e3_4734,4
PF3D7_1422800.1o1_4635,4
PF3D7_1422600.1o1_766,4
PF3D7_1349300.iso1.exon1.amp2_478,4
PF3D7_1321700.e2s1_4110,4
PFE0885w_814,3
PFD0425w_2780,3
PFD0175c_1o1_4239,3
PFC10_API0042.iso1.exon1.amp1_20,3
PF3D7_1479100.iso1.exon1.amp1_3584,3
PF3D7_1478600.iso1.exon1.amp1_4398,3
PF3D7_1477900.3o3_787,3
PF3D7_1476500.2o2_1031,3
PF3D7_1475400.e2s1_497,3
PF3D7_1475200.1o1_475,3
PF3D7_1474700.iso1.exon3.amp1_3912,3
PF3D7_1474400.iso1.exon14.amp1_99,3
PF3D7_1473700.iso1.exon1.amp2_768,3
PF3D7_1473500.1o1_762,3
PF3D7_1472100.1o6_3935,3
PF3D7_1471700.iso1.exon1.amp1_2187,3
PF3D7_1471100.e3s1_2831,3
PF3D7_1470100.e1s3_3204,3
PF3D7_1470100.e1s2_1578,3
PF3D7_1468600.1o2_2093,3
PF3D7_1467500.iso1.exon1.amp1_1009,3
PF3D7_1467400.1o1_3632,3
PF3D7_1465800.e5s1_4508,3
PF3D7_1464600.iso1.exon1.amp2_2536,3
PF3D7_1464500.iso1.exon1.amp1_seg2_2304,3
PF3D7_1463400.iso1.exon1.amp1_718,3
PF3D7_1462300.e1s2_1573,3
PF3D7_1460000.1o1_2330,3
PF3D7_1459600.iso1.exon2.amp1_2130,3
PF3D7_1457000.9o9_4946,3
PF3D7_1450500.e3s2_1570,3
PF3D7_1447500.2o2_2624,3
PF3D7_1438800.2o4_4658,3
PF3D7_1436400.e1s2_5065,3
PF3D7_1436200.iso1.exon1.amp1_4288,3
PF3D7_1425700.1o4_3636,3
PF3D7_1421400.5o5_1042,3
PF3D7_1418200.1o1_4238,3
PF3D7_1407100.e2s1_4465,3
PF3D7_1365900.e1s1_2817,3
PF3D7_1364200.e1s1_1912,3
PF3D7_1350700.1o1_1087,3
PF3D7_1343400.iso1.exon3.amp1_4541,3
PF3D7_1333400.1o1_1669,3
PF3D7_1145400.e1s1_4164,3
PF3D7_1121800.s1_3759,3
PF3D7_1039700.iso1.exon1.amp1_1851,3
PFL0110c_2444,2
PFE0565w_4707,2
PFC10_API0036.iso1.exon1.amp1_1753,2
PF3D7_1478800.2o2_3283,2
PF3D7_1477800.iso1.exon1.amp1_2398,2
PF3D7_1475800.e1_521,2
PF3D7_1475100.iso1.exon1.amp2_2780,2
PF3D7_1474800.e3s1_1536,2
PF3D7_1474500.1o1_4340,2
PF3D7_1474400.iso1.exon9.amp1_2080,2
PF3D7_1474200.iso1.exon2.amp1_645,2
PF3D7_1473600.1o1_1975,2
PF3D7_1473300.iso1.exon2.amp1_3257,2
PF3D7_1473100.e1s1_253,2
PF3D7_1473000.1o1_4886,2
PF3D7_1472800.1o7_2988,2
PF3D7_1472700.1o1_772,2
PF3D7_1472600.1o4_1729,2
PF3D7_1471900.iso1.exon2.amp1_4490,2
PF3D7_1470700.iso1.exon1.amp1_164,2
PF3D7_1470600.2o3_2049,2
PF3D7_1469500.iso1.exon1.amp1_4484,2
PF3D7_1469200.1o1_3306,2
PF3D7_1468700.e2s1_889,2
PF3D7_1467600.iso1.exon2.amp2_3402,2
PF3D7_1467200.1o1_1413,2
PF3D7_1466900.iso1.exon2.amp2_2482,2
PF3D7_1466300.e1s2_529,2
PF3D7_1466200.e1s3_3202,2
PF3D7_1466200.e1s2_3526,2
PF3D7_1465800.e4s2_1139,2
PF3D7_1465800.e4s1_4704,2
PF3D7_1465800.e3s1_2535,2
PF3D7_1462600.2o2_4959,2
PF3D7_1462400.e1s2_1268,2
PF3D7_1461900.e1s2_5117,2
PF3D7_1461400.2o4_1355,2
PF3D7_1460800.1o1_1732,2
PF3D7_1460100.1o1_4266,2
PF3D7_1458700.1o1_719,2
PF3D7_1457900.e1s1_2894,2
PF3D7_1457500.1o1_3651,2
PF3D7_1457400.iso1.exon1.amp4_755,2
PF3D7_1456800.1o1_4017,2
PF3D7_1456500.s2_191,2
PF3D7_1455700.1o2_153,2
PF3D7_1455300.e1s1_4478,2
PF3D7_1454900.1o1_3916,2
PF3D7_1454200.s2_1496,2
PF3D7_1454200.s1_1814,2
PF3D7_1453400.iso1.exon1.amp1_4016,2
PF3D7_1452600.iso1.exon1.amp1_2820,2
PF3D7_1451900.e1s1_1548,2
PF3D7_1450400.iso1.exon1.amp1_3403,2
PF3D7_1449900.1o1_394,2
PF3D7_1449000.e3_2790,2
PF3D7_1447800.e1s2_2899,2
PF3D7_1447800.e1s1_3223,2
PF3D7_1447700.1o1_4277,2
PF3D7_1446100.iso1.exon2.amp1_3034,2
PF3D7_1446100.iso1.exon1.amp1_974,2
PF3D7_1445600.e4_4738,2
PF3D7_1444100.e6s1_4483,2
PF3D7_1443900.1o1_4032,2
PF3D7_1443800.1o1_3332,2
PF3D7_1442300.e2s1_4148,2
PF3D7_1441700.iso1.exon1.amp1_3909,2
PF3D7_1441300.e5s1_931,2
PF3D7_1439700.5o6_63,2
PF3D7_1437400.1o1_1105,2
PF3D7_1433800.iso1.exon1.amp2_529,2
PF3D7_1433400.e1_4423,2
PF3D7_1433100.iso1.exon2.amp1_450,2
PF3D7_1430200.2o8_756,2
PF3D7_1429100.1o1_4327,2
PF3D7_1426800.iso1.exon1.amp1_4156,2
PF3D7_1419400.e3s1_4118,2
PF3D7_1416600.e1s4_4488,2
PF3D7_1414700.s2_4407,2
PF3D7_1408700.e2s2_1896,2
PF3D7_1407000.e1s1_4485,2
PF3D7_1406400.1o1_3017,2
PF3D7_1401300.2o2_742,2
PF3D7_1369000.5o5_4018,2
PF3D7_1368800.e1s1_1263,2
PF3D7_1364100.1o1_4029,2
PF3D7_1356200.2o2_1000,2
PF3D7_1353900.e1s1_2828,2
PF3D7_1348800.2o4_3719,2
PF3D7_1347700.1o3_1088,2
PF3D7_1346900.1o1_1992,2
PF3D7_1346400.e1s3_505,2
PF3D7_1343500.1o4_717,2
PF3D7_1340300.iso1.exon1.amp1_4497,2
PF3D7_1336800.1o1_2991,2
PF3D7_1334500.2o2_2710,2
PF3D7_1333200.s2_820,2
PF3D7_1329500.iso1.exon1.amp2_3671,2
PF3D7_1329100.e3s3_5138,2
PF3D7_1328500.e1s1_899,2
PF3D7_1328300.1o3_1680,2
PF3D7_1324700.1o2_1664,2
PF3D7_1324600.iso1.exon2.amp2_3061,2
PF3D7_1321900.1o1_2654,2
PF3D7_1316900.iso1.exon1.amp1_3925,2
PF3D7_1300300.e2s1_4149,2
PF3D7_1227200.iso1.exon1.amp2_815,2
PF3D7_1226700.1o1_1738,2
PF3D7_1215900.1o1_1409,2
PF3D7_1208800.e1s1_2209,2
PF3D7_1144900.4o4_2636,2
PF3D7_1125700.6o6_3360,2
PF3D7_1100800.2o2_370,2
PF3D7_1036400.e2s2_2150,2
PF3D7_1020700.e1s2_4159,2
PF3D7_0826100.s7_4077,2
PF3D7_0811100.1o1_1077,2
PF3D7_0808200.e1s1_5118,2
PFL2215w_4059,1
PFE1590w_2119,1
PFC10_API0032.iso1.exon1.amp1_1175,1
PFC10_API0014.iso1.exon1.amp1_short_1174,1
PFC0700c_2438,1
PFC0210c_2763,1
PFB0690w_4058,1
PFB0300c_4064,1
PFA0350c_4054,1
PFA0270c_1142,1
PF3D7_1479500.iso1.exon2.amp1_3581,1
PF3D7_1479400.iso1.exon2.amp1_140,1
PF3D7_1478100.2o2_4908,1
PF3D7_1477900.1o3_4022,1
PF3D7_1477700.2o2_3945,1
PF3D7_1477300.iso1.exon1.amp1_620,1
PF3D7_1476100.1o1_1649,1
PF3D7_1475400.e2s2_1145,1
PF3D7_1475000.1o1_3596,1
