,# correlated features
PFC10_API0018.iso1.exon1.amp1_2911,64
PF3D7_1472500.iso1.exon2.amp1_3512,29
mal_mito_1.iso1.exon1.amp1_3777,26
PF3D7_1470900.iso1.exon2.amp1_2393,26
mal_mito_3.iso1.exon1.amp1_4066,19
PF3D7_1474400.iso1.exon1.amp1_2386,18
PF3D7_1465700.iso1.exon5.amp1_1494,18
PF3D7_1474400.iso1.exon15.amp1_4083,17
mal_mito_2.iso1.exon1.amp1_1466,14
PFC10_API0020.iso1.exon1.amp1_598,14
PF3D7_1460900.iso1.exon3.amp1_340,14
PF3D7_1459300.iso1.exon1.amp1_2428,13
PF3D7_1462500.iso1.exon19.amp1_2939,12
PF3D7_1479100.iso1.exon1.amp1_3584,11
PF3D7_1470300.iso1.exon1.amp1_4439,11
PF3D7_1466900.iso1.exon1.amp1_2662,11
PF3D7_1465700.iso1.exon7.amp1_2640,11
PF3D7_1453500.iso1.exon3.amp2_1392,11
PF3D7_1451200.iso1.exon1.amp2_2489,11
PF3D7_1435700.iso2.exon4.amp1_30,11
PF3D7_1464600.iso1.exon2.amp1_3586,10
PF3D7_1463500.iso1.exon1.amp1_3559,10
PF3D7_1462500.iso1.exon13.amp1_2654,10
PF3D7_1462200.iso1.exon1.amp1_1499,10
PFC10_API0030.iso1.exon1.amp1_3489,9
PF3D7_1452500.iso1.exon6.amp1_4115,9
PFC10_API0038.iso1.exon1.amp1_4356,8
PF3D7_1449500.iso1.exon2.amp1_2750,8
PF3D7_1432600.iso1.exon1.amp2_480,8
PF3D7_1432400.iso1.exon16.amp1_3250,8
PF3D7_1459700.iso1.exon5.amp1_2693,7
PF3D7_1455900.iso1.exon9.amp1_3839,7
PF3D7_1452700.iso1.exon8.amp1_676,7
PF3D7_1449100.iso1.exon3.amp1_3050,7
PF3D7_1445200.iso1.exon2.amp1_2749,7
PF3D7_1432500.iso1.exon2.amp1_2377,7
PF3D7_1404200.iso1.exon1.amp1_2956,7
PF3D7_1333900.iso1.exon1.amp1_1605,7
PF3D7_1475100.iso1.exon1.amp2_2780,6
PF3D7_1460200.iso1.exon1.amp1_2723,6
PF3D7_1453200.iso1.exon14.amp1_4389,6
PF3D7_1439200.iso1.exon5.amp1_3800,6
PF3D7_1434000.iso1.exon6.amp1_4376,6
PF3D7_1410900.iso1.exon4.amp1_1592,6
PF3D7_1345100.iso1.exon4.amp1_2363,6
PFC10_API0013.iso1.exon1.amp1_2909,5
PF3D7_1474200.iso1.exon2.amp1_645,5
PF3D7_1471600.iso1.exon1.amp1_3146,5
PF3D7_1469900.iso1.exon2.amp1_1782,5
PF3D7_1468500.iso1.exon6.amp1_2343,5
PF3D7_1464500.iso1.exon5.amp1_4080,5
PF3D7_1461200.iso1.exon3.amp1_115,5
PF3D7_1460500.iso1.exon1.amp1_1705,5
PF3D7_1458200.iso1.exon1.amp1_4381,5
PF3D7_1433900.iso1.exon1.amp2_3069,5
PF3D7_1417600.iso1.exon1.amp1_517,5
PF3D7_1416000.iso1.exon3.amp1_3519,5
PF3D7_1406000.iso1.exon2.amp1_1495,5
PF3D7_1405000.iso1.exon5.amp1_4076,5
PF3D7_1358600.iso1.exon1.amp2_2507,5
