	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.3939393939393939	0.7534942645497565	0.7702020202020202	0.4923659639173309	0.634652602299661	0.7676767676767677	0.494949494949495	0.7484989885663484	0.7727272727272728	0.5959595959595959	0.6850546319907663	0.7626262626262627	0.5438483330175762	0.7253601403756202	0.7803030303030303	0.5449492609130661	0.763612102382602	0.7904040404040404	0.447801930486707	0.7223094988961863	0.7752525252525252	0.5959595959595959	0.7838061845672785	0.7954545454545454	0.494949494949495	0.6330185742014947	0.7626262626262625	0.5959595959595959	0.7056351786582694	0.7777777777777778	0.5200682660051852	0.06800594406944523	0.7155442166487983	0.0516616139176735	0.7755050505050506	0.010939522960461094
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.0	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.03948661932906912	0.05382557798242447	0.47777777777777775	0.01811177211779858	0.46565656565656555	0.01663176974441546
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.0	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5175925925925925	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.020515248496555453	0.48396990740740736	0.5	-0.021691211466347303	0.06462962276541774	0.49094907407407395	0.029249466051348344	0.48383838383838385	0.03537757720286521
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	0.0	0.48396990740740736	0.5	0.020515248496555453	0.5372106481481481	0.5404040404040404	0.020515248496555453	0.5372106481481481	0.5404040404040404	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5175925925925925	0.5	0.07537783614444091	0.5372106481481481	0.5404040404040404	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.0	0.5094907407407407	0.4797979797979798	0.0	0.4585648148148148	0.43939393939393934	-0.013692358163410728	0.05924036652940549	0.4967939814814814	0.03461671857133162	0.48787878787878797	0.04280201638268207
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.0	0.4585648148148148	0.43939393939393934	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.5175925925925925	0.5	-0.01415342785190321	0.0376053254666136	0.49553240740740734	0.033046676133165205	0.48383838383838385	0.03785446282169753
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.0	0.5309027777777777	0.5202020202020202	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.5461805555555556	0.5606060606060606	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.015282813324573786	0.04857225973043309	0.5084837962962963	0.03292393154016195	0.4999999999999999	0.04364135150443004
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.0	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5175925925925925	0.5	0.12309149097933272	0.5461805555555556	0.5606060606060606	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.02809960960812082	0.07498577857789328	0.49076388888888883	0.032225976556271095	0.4797979797979798	0.038093294609376306
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5461805555555556	0.5606060606060606	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5175925925925925	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5175925925925925	0.5	0.0	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.02189845756203291	0.06271467864476132	0.4929571759259259	0.031215998139111394	0.4797979797979798	0.03809329460937631
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.0	0.5239004629629629	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.47766203703703697	0.4797979797979798	0.0	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.020100756305184243	0.05135645987428752	0.4887037037037037	0.0256217255232186	0.48383838383838385	0.028250743385054615
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	0.0	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.020515248496555453	0.5175925925925925	0.5	0.020515248496555453	0.5175925925925925	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.08206099398622181	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	-0.020515248496555453	0.48396990740740736	0.5	0.00251259453814803	0.053562743136445	0.507824074074074	0.023106505109390607	0.4979797979797979	0.0276832387758848
