	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.44114940169152966	0.6404355029991703	0.7550505050505051	0.5438483330175762	0.6780366115589951	0.7752525252525253	0.5438483330175762	0.6938717944355199	0.7676767676767677	0.4923659639173309	0.6527782765489164	0.7676767676767676	0.5959595959595959	0.7043454190351766	0.7702020202020202	0.5438483330175762	0.6773037251231977	0.7803030303030303	0.4923659639173309	0.700834602224426	0.7878787878787878	0.6455022270395531	0.7632497448308422	0.7954545454545454	0.5438483330175762	0.6518923641339214	0.7727272727272727	0.5438483330175762	0.7039958069876934	0.7752525252525252	0.538658481761322	0.05639906568028608	0.6866743847877859	0.03557087922582485	0.7747474747474747	0.011280717554041026
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	-0.08206099398622181	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.028975171487984515	0.06925126026102175	0.49784143518518514	0.025368427349908972	0.4898989898989899	0.027353664662073965
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	-0.07537783614444091	0.48396990740740736	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.46956018518518516	0.45959595959595956	0.0	0.46956018518518516	0.45959595959595956	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5175925925925925	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.02713089273401458	0.07107039695839866	0.4881539351851851	0.03069518793925554	0.4757575757575757	0.03785446282169751
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.020515248496555453	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.5175925925925925	0.5	-0.07537783614444091	0.48396990740740736	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.46956018518518516	0.45959595959595956	-0.04518012418954328	0.04688184495300353	0.4842534722222222	0.026261849949445734	0.4737373737373737	0.028649222068932886
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	0.08206099398622181	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	0.0	0.48396990740740736	0.5	-0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.01005037815259212	0.04864416865393962	0.48568287037037033	0.02278950239726475	0.4858585858585859	0.027020070906045655
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	0.020515248496555453	0.5175925925925925	0.5	0.020515248496555453	0.5372106481481481	0.5404040404040404	0.020515248496555453	0.5309027777777777	0.5202020202020202	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5094907407407407	0.4797979797979798	-0.03353929087578809	0.05175228929882998	0.4973842592592591	0.032333812397311965	0.4818181818181818	0.03743284069949444
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	0.0	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.0	0.48396990740740736	0.5	-0.020515248496555453	0.48396990740740736	0.5	0.08206099398622181	0.5461805555555556	0.5606060606060606	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.0006683157841780904	0.06322831822053458	0.5091724537037037	0.03143409814378507	0.5080808080808081	0.03833063830507127
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.5175925925925925	0.5	0.0	0.48396990740740736	0.5	-0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.5175925925925925	0.5	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5461805555555556	0.5606060606060606	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.0018442787539699394	0.02728449517539074	0.5160300925925926	0.020512667768719513	0.51010101010101	0.025642333689777468
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5461805555555556	0.5606060606060606	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5309027777777777	0.5202020202020202	0.0	0.5175925925925925	0.5	-0.008413345494307787	0.04603537402799779	0.5097974537037037	0.027539082493586678	0.49393939393939396	0.0369450955537918
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.48396990740740736	0.5	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.050251890762960605	0.5175925925925925	0.5	-0.03676677869523549	0.050890557048494996	0.49220486111111106	0.03148618605253227	0.48383838383838385	0.03785446282169751
10	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 1.0}	0.0001	1.0	0.0	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.48396990740740736	0.5	0.0	0.48396990740740736	0.5	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.07537783614444091	0.48396990740740736	0.5	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.020515248496555453	0.5175925925925925	0.5	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.014360673947588814	0.05846745843818999	0.48724537037037036	0.026278858084050102	0.4818181818181818	0.032224878421563394
