	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.38978972143455365	0.6797598121847732	0.7424242424242424	0.35723524791636174	0.5238750840647792	0.6641414141414141	0.2465426358859398	0.6291245627849804	0.7095959595959596	0.21212121212121213	0.5349768858629002	0.6590909090909092	0.30151134457776363	0.6896143187007788	0.7196969696969697	0.3939393939393939	0.5914656782983486	0.6742424242424243	0.29292929292929293	0.5721132776820119	0.6919191919191918	0.2465426358859398	0.5013176983416089	0.6388888888888888	0.3939393939393939	0.5512695448482456	0.6818181818181818	0.3405405449736225	0.6421053166965902	0.7045454545454545	0.31750914236034744	0.06754049176239597	0.5915622179465017	0.06607054814896433	0.6886363636363636	0.031202739773972008
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.020515248496555453	0.5175925925925925	0.5	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.0	0.5372106481481481	0.5404040404040404	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.0262087533570296	0.05520905649946563	0.49870370370370365	0.03464698639103832	0.49191919191919187	0.04172911349449073
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5175925925925925	0.5	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.020515248496555453	0.48396990740740736	0.5	0.0	0.48396990740740736	0.5	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	0.003641980010818606	0.04225723280590447	0.4954108796296296	0.026356366823647743	0.4858585858585858	0.028649222068932886
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.024157228507374055	0.060640341852050174	0.4958738425925926	0.031098898453450135	0.47979797979797983	0.03688367390607183
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5461805555555556	0.5606060606060606	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.08206099398622181	0.5461805555555556	0.5606060606060606	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.0	0.5094907407407407	0.4797979797979798	0.0	0.5239004629629629	0.5202020202020202	0.0043102957949966965	0.05536945736432086	0.5180787037037037	0.026903812849536024	0.5141414141414141	0.036945095553791794
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.020515248496555453	0.48396990740740736	0.5	0.0	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.02830685570380643	0.05511679977322318	0.4811805555555555	0.022924391156694236	0.4737373737373736	0.027020070906045655
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5175925925925925	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.04928317388885436	0.043136786633739585	0.4810127314814814	0.026156987032976267	0.46767676767676775	0.02888567082764611
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5175925925925925	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5175925925925925	0.5	-0.05015873576871806	0.07014703344110194	0.4858680555555555	0.03348083985822942	0.4717171717171717	0.03949596848111836
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.0	0.5239004629629629	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5372106481481481	0.5404040404040404	-0.01851030114402118	0.04948248902225631	0.4933796296296296	0.03177463608273211	0.4878787878787879	0.037128750847381105
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5175925925925925	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5175925925925925	0.5	0.0	0.5461805555555556	0.5606060606060606	0.0	0.5239004629629629	0.5202020202020202	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5175925925925925	0.5	-0.03851790245496288	0.06846923999815065	0.49920138888888876	0.0318392799487772	0.4878787878787879	0.039495968481118346
