	Pf_antigen_ID	weight
390	PF3D7_1115900.iso1.exon2.amp1_4360	-0.17722848583553627
260	PF3D7_1229000.iso1.exon1.amp2_2206	-0.16865203878844107
915	PF3D7_0514500.iso1.exon6.amp1_1487	-0.1093067458587229
1026	PF3D7_0400100.iso1.exon2.amp1_4192	-0.074450657256818
826	PF3D7_0632800.iso1.exon1.amp1_4482	-0.03836811646246234
1130	PF3D7_0200200.iso1.exon1.amp1_1284	-0.022728768837285477
600	PF3D7_0832700.iso1.exon2.amp1_2380	-0.009195155799580242
114	PF3D7_1415500.iso1.exon2.amp1_2259	-0.00910091705701147
731	PF3D7_0726400.e1s1_2503	-0.003114569861388073
0	Dose	0.46945514679245676
