	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.6030226891555273	0.6546892858033921	0.7626262626262625	0.6030226891555273	0.6934790022722837	0.7702020202020201	0.5151515151515151	0.6672987468733728	0.7626262626262625	0.5584945425171289	0.6213021281793857	0.7474747474747475	0.6030226891555273	0.7078016408765315	0.76010101010101	0.5584945425171289	0.7082047578814282	0.755050505050505	0.5584945425171289	0.6921774991434434	0.7702020202020201	0.5584945425171289	0.7290584191049255	0.7803030303030303	0.6030226891555273	0.6392629778417318	0.755050505050505	0.5484315777870906	0.6257759931190721	0.7373737373737373	0.5709652019629231	0.030469896222788333	0.6739050451095566	0.03768406745721001	0.7601010101010099	0.012256077254680989
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.08206099398622181	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.0	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.0	0.5175925925925925	0.5	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.00435687329211797	0.05073762838778221	0.5124305555555555	0.022473081584632335	0.5	0.02519634603888178
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	-0.020515248496555453	0.5175925925925925	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.0	0.48396990740740736	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.0	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	0.0	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.020561825993676727	0.0480904248498425	0.48985532407407406	0.028145460860198045	0.4858585858585858	0.03165699467621056
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	0.0	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.0	0.5372106481481481	0.5404040404040404	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.0	0.46956018518518516	0.45959595959595956	-0.08206099398622181	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.4585648148148148	0.43939393939393934	0.0	0.48396990740740736	0.5	-0.020308002400869846	0.04335848171367229	0.48436342592592585	0.026011110331046305	0.4737373737373736	0.030190588244390457
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	0.0	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5175925925925925	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5175925925925925	0.5	0.050251890762960605	0.5175925925925925	0.5	0.020515248496555453	0.48396990740740736	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.009843132056906515	0.0532773445995935	0.5001041666666666	0.029768314516513877	0.4878787878787879	0.03326353948883092
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	0.0	0.5175925925925925	0.5	0.0	0.5461805555555556	0.5606060606060606	0.0	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.050251890762960605	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.020515248496555453	0.5175925925925925	0.5	-0.011640833313755183	0.03505667619637694	0.5018692129629629	0.027821334618647484	0.491919191919192	0.03187113687865113
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	0.0	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5461805555555556	0.5606060606060606	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.008874415182800272	0.07479513589948099	0.5016840277777777	0.03613807269855181	0.49191919191919187	0.045870400985660365
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5175925925925925	0.5	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.0	0.5372106481481481	0.5404040404040404	0.020515248496555453	0.48396990740740736	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	-0.004103049699311091	0.06790378528011895	0.5026446759259259	0.02538285674328148	0.49393939393939396	0.027020070906045652
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.0	0.5461805555555556	0.5606060606060606	-0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.0	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.48396990740740736	0.5	0.0	0.48396990740740736	0.5	0.020515248496555453	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	0.0	0.5175925925925925	0.5	-0.01917861692819927	0.032264436173512455	0.4936342592592592	0.02820991769825725	0.49595959595959593	0.032713691047787534
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5175925925925925	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.0	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.02143738787354042	0.04741780472359355	0.4926041666666666	0.027199385997686062	0.4858585858585857	0.033058418070393475
