	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.32824397594488725	0.731528407849345	0.75	0.3476767476825577	0.5486490765324954	0.6792929292929293	0.3476767476825577	0.6448177105897571	0.7247474747474747	0.2854496128592251	0.6324303409887746	0.6944444444444444	0.3892494720807615	0.758266201097417	0.7727272727272727	0.3892494720807615	0.5843930145084841	0.7070707070707071	0.3057762147373361	0.6030024084346188	0.6944444444444444	0.24232015747572203	0.49262683052403605	0.6338383838383839	0.3057762147373361	0.6575758093318538	0.7045454545454546	0.3892494720807615	0.6155116801603301	0.6994949494949495	0.33306680873619066	0.049341824077246195	0.6268801480017112	0.0789915160513687	0.706060606060606	0.03796660228772568
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.47766203703703697	0.4797979797979798	0.0	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.0	0.5175925925925925	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.020769072089362333	0.053080833135454704	0.4910185185185184	0.03247024377378351	0.48181818181818176	0.03743284069949443
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.08206099398622181	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.020976318185047936	0.05386547932629568	0.4948900462962963	0.026438520628990457	0.48383838383838385	0.029812718681722118
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.0	0.48396990740740736	0.5	-0.08206099398622181	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5461805555555556	0.5606060606060606	-0.020515248496555453	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.0	0.5175925925925925	0.5	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	-0.015951129108751877	0.06284446443472334	0.5065335648148148	0.02788773421681738	0.504040404040404	0.032713691047787534
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.0	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.5309027777777777	0.5202020202020202	0.08206099398622181	0.5461805555555556	0.5606060606060606	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.004564119387803575	0.0663026858973853	0.5007118055555555	0.03345948567170863	0.4878787878787879	0.040627887216157205
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5175925925925925	0.5	-0.050251890762960605	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5461805555555556	0.5606060606060606	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.018717547239706787	0.052605053794377715	0.49556712962962957	0.031160998182616143	0.48383838383838385	0.036636957599287395
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.0	0.5094907407407407	0.4797979797979798	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.08206099398622181	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.005279012669102939	0.06110263827079617	0.4967592592592592	0.028176789562515753	0.48383838383838373	0.026597195499167028
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.48396990740740736	0.5	0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.48396990740740736	0.5	-0.020515248496555453	0.5175925925925925	0.5	-0.028975171487984515	0.0582479096462271	0.491417824074074	0.028302957301088068	0.4838383838383839	0.03129683512086805
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.0	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	0.0	0.5461805555555556	0.5606060606060606	0.0	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.017795407862721817	0.053399127042344584	0.4922569444444444	0.03531372887307712	0.48383838383838373	0.04446484584301464
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5175925925925925	0.5	0.0	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5239004629629629	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	-0.020100756305184243	0.05225910295943619	0.49107060185185175	0.030145310467654812	0.47777777777777775	0.034926067285898865
