	Pf_antigen_ID	weight
40	PFC10_API0059.iso1.exon1.amp1_short_1180	-0.13955667875359115
5570	PF3D7_0618300.iso1.exon1.amp1_1184	-0.11356355063513589
1101	PF3D7_1404600.iso3.exon5.amp1_1181	-0.10058459855788356
6065	PF3D7_0511700.iso1.exon4.amp1_2340	-0.09922309437476437
1144	PF3D7_1401900.iso1.exon4.amp1_3493	-0.0529382309609259
7176	PF3D7_0201800.iso1.exon3.amp1_2338	-0.04650904842054966
2428	PF3D7_1229000.iso1.exon1.amp2_2206	-0.020725087359425708
4277	PF3D7_0916200.iso1.exon1.amp1_2352	-0.019174347144929636
2804	PF3D7_1202000.iso1.exon7.amp1_4210	-0.014744097380444077
740	PF3D7_1432700.iso1.exon2.amp1_1183	-0.008040558029097795
3290	PF3D7_1115900.iso1.exon2.amp1_4360	-0.006708936351490371
1516	PF3D7_1345000.iso1.exon2.amp1_1187	-0.0028204760364765025
1106	PF3D7_1404600.iso2.exon16.amp1_1470	-0.0023573296794334423
0	Dose	0.37771123468555484
