	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.49517597397212765	0.6357127074482014	0.75	0.5438483330175762	0.6799237024477545	0.7752525252525253	0.4923659639173309	0.6583162998764023	0.7676767676767676	0.4923659639173309	0.6527782765489164	0.7676767676767676	0.5959595959595959	0.7043454190351766	0.7702020202020202	0.5438483330175762	0.6851740954935681	0.7828282828282828	0.5449492609130661	0.7009028715904361	0.7853535353535352	0.6455022270395531	0.7632497448308422	0.7954545454545454	0.5438483330175762	0.6546088674018953	0.7752525252525253	0.5438483330175762	0.7039958069876934	0.7752525252525252	0.5441712317789309	0.047980475766214524	0.6839007791660887	0.03685986000374815	0.7744949494949495	0.012201032544891069
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.050251890762960605	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5175925925925925	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.029690064769283882	0.05784651816174487	0.4852951388888888	0.024153552507046604	0.4696969696969697	0.02380830913086021
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	-0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.5175925925925925	0.5	0.050251890762960605	0.5175925925925925	0.5	0.0	0.5239004629629629	0.5202020202020202	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.0	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.015282813324573787	0.04952567300528384	0.49107060185185175	0.030145310467654812	0.47777777777777775	0.034926067285898865
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	-0.020515248496555453	0.5175925925925925	0.5	-0.07537783614444091	0.48396990740740736	0.5	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.03215608181031064	0.06412518041956072	0.49600115740740736	0.024102813578341015	0.4797979797979798	0.02332728360362126
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.48396990740740736	0.5	0.0	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5175925925925925	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0	0.5309027777777777	0.5202020202020202	-0.00410304969931109	0.04668189586361744	0.5043749999999999	0.022303240407059298	0.4979797979797979	0.02008947325276271
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	0.0	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.48396990740740736	0.5	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.08206099398622181	0.5372106481481481	0.5404040404040404	0.01708051458142245	0.0682363478731342	0.5110243055555556	0.03583320217769965	0.5101010101010102	0.04390035289698754
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.0	0.5239004629629629	0.5202020202020202	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5175925925925925	0.5	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.0	0.5094907407407407	0.4797979797979798	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.0020515248496555437	0.06035652895383425	0.5030960648148148	0.029893234692147243	0.49595959595959593	0.035377577202865204
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.48396990740740736	0.5	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.0	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.0	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.48396990740740736	0.5	0.020515248496555453	0.48396990740740736	0.5	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.003641980010818606	0.06123527595945852	0.49910300925925927	0.026868604227963014	0.49393939393939396	0.030190588244390457
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	-0.07537783614444091	0.48396990740740736	0.5	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.0	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5175925925925925	0.5	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.48396990740740736	0.5	0.0	0.5239004629629629	0.5202020202020202	-0.013231288474918241	0.04261842735324977	0.49771990740740735	0.02113081718146545	0.49191919191919187	0.019517005718773673
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.0	0.48396990740740736	0.5	0.0	0.46956018518518516	0.45959595959595956	0.0	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	0.020515248496555453	0.48396990740740736	0.5	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0	0.5094907407407407	0.4797979797979798	-0.0066156442374591205	0.03240868351367531	0.488744212962963	0.01912547888497782	0.4858585858585859	0.021401008191341036
