	params	logisticregression__C	logisticregression__l1_ratio	iteration0_mcc	iteration0_precision_recall_auc	iteration0_roc_auc	iteration1_mcc	iteration1_precision_recall_auc	iteration1_roc_auc	iteration2_mcc	iteration2_precision_recall_auc	iteration2_roc_auc	iteration3_mcc	iteration3_precision_recall_auc	iteration3_roc_auc	iteration4_mcc	iteration4_precision_recall_auc	iteration4_roc_auc	iteration5_mcc	iteration5_precision_recall_auc	iteration5_roc_auc	iteration6_mcc	iteration6_precision_recall_auc	iteration6_roc_auc	iteration7_mcc	iteration7_precision_recall_auc	iteration7_roc_auc	iteration8_mcc	iteration8_precision_recall_auc	iteration8_roc_auc	iteration9_mcc	iteration9_precision_recall_auc	iteration9_roc_auc	mean_mcc	std_mcc	mean_precision_recall_auc	std_precision_recall_auc	mean_roc_auc	std_roc_auc
0	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.0}	0.0001	0.0	0.6161616161616161	0.6856970060207934	0.787878787878788	0.6161616161616161	0.6629877539642761	0.7904040404040403	0.5743445012241692	0.7587489540727415	0.7979797979797979	0.5743445012241692	0.6845316303617387	0.7777777777777777	0.6591241898175125	0.7443986046346727	0.7954545454545454	0.6161616161616161	0.7435193290843446	0.7979797979797979	0.5743445012241692	0.680866216827904	0.7904040404040403	0.6161616161616161	0.7614883099499972	0.8106060606060607	0.6161616161616161	0.6393706471944346	0.7727272727272727	0.6161616161616161	0.651730673386375	0.7676767676767677	0.6079127390459715	0.02669031514639144	0.7013339125497278	0.04626653117196492	0.788888888888889	0.012996807451595134
1	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.1}	0.0001	0.1	-0.020515248496555453	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0	0.47766203703703697	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.04107707449023218	0.04400515918564545	0.47539930555555554	0.02001337897849367	0.4616161616161616	0.02223242292150733
2	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.2}	0.0001	0.2	0.0	0.4585648148148148	0.43939393939393934	0.0	0.5175925925925925	0.5	0.08206099398622181	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.48396990740740736	0.5	-0.08206099398622181	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.47766203703703697	0.4797979797979798	0.0	0.5094907407407407	0.4797979797979798	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.020515248496555453	0.46956018518518516	0.45959595959595956	0.0015904551611630607	0.056984935898928626	0.4961111111111111	0.02952553379163392	0.4858585858585858	0.031656994676210554
3	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.3}	0.0001	0.3	0.0	0.46956018518518516	0.45959595959595956	-0.020515248496555453	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.48396990740740736	0.5	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.050251890762960605	0.4585648148148148	0.43939393939393934	-0.013485112067725121	0.05809808490071734	0.48580439814814813	0.02788912987029143	0.4777777777777777	0.03360262612760852
4	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.4}	0.0001	0.4	-0.020515248496555453	0.48396990740740736	0.5	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.0	0.5175925925925925	0.5	-0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5175925925925925	0.5	-0.011848079409440788	0.06600564643991028	0.5027546296296295	0.024631564609238068	0.49595959595959593	0.024833789783953925
5	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.5}	0.0001	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.0	0.4585648148148148	0.43939393939393934	0.0	0.5461805555555556	0.5606060606060606	-0.08206099398622181	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5239004629629629	0.5202020202020202	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.08206099398622181	0.5461805555555556	0.5606060606060606	0.0004610696884924853	0.06505305504539191	0.5135763888888889	0.0278998837997896	0.504040404040404	0.039034011437547304
6	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.6}	0.0001	0.6	-0.07537783614444091	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.0	0.5309027777777777	0.5202020202020202	-0.07537783614444091	0.46956018518518516	0.45959595959595956	-0.08206099398622181	0.5094907407407407	0.4797979797979798	0.08206099398622181	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	-0.07537783614444091	0.47766203703703697	0.4797979797979798	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.01574388301306627	0.06859262496794725	0.5019560185185185	0.03279639599627464	0.48989898989898994	0.03838974495283297
7	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.7}	0.0001	0.7	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.020515248496555453	0.48396990740740736	0.5	-0.07537783614444091	0.46956018518518516	0.45959595959595956	0.07537783614444091	0.48396990740740736	0.5	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.020515248496555453	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.46956018518518516	0.45959595959595956	-0.07537783614444091	0.48396990740740736	0.5	-0.07537783614444091	0.48396990740740736	0.5	-0.025540437572851515	0.06990621573931372	0.48764467592592586	0.02060942291786111	0.48383838383838385	0.024833789783953925
8	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.8}	0.0001	0.8	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.050251890762960605	0.5309027777777777	0.5202020202020202	0.08206099398622181	0.5372106481481481	0.5404040404040404	-0.12309149097933272	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5175925925925925	0.5	-0.07537783614444091	0.47766203703703697	0.4797979797979798	-0.020515248496555453	0.5239004629629629	0.5202020202020202	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.020515248496555453	0.5309027777777777	0.5202020202020202	0.006408398141773514	0.06542196434051246	0.5191030092592592	0.028312137920810998	0.5141414141414141	0.034402800739245266
9	{'logisticregression__C': 0.0001, 'logisticregression__l1_ratio': 0.9}	0.0001	0.9	0.050251890762960605	0.5094907407407407	0.4797979797979798	-0.08206099398622181	0.4585648148148148	0.43939393939393934	0.050251890762960605	0.5461805555555556	0.5606060606060606	0.050251890762960605	0.5372106481481481	0.5404040404040404	0.08206099398622181	0.5461805555555556	0.5606060606060606	-0.12309149097933272	0.4585648148148148	0.43939393939393934	0.0	0.4585648148148148	0.43939393939393934	-0.07537783614444091	0.4585648148148148	0.43939393939393934	-0.020515248496555453	0.5094907407407407	0.4797979797979798	0.050251890762960605	0.5239004629629629	0.5202020202020202	-0.001797701256848666	0.07054621418706367	0.5006712962962963	0.03839023618064713	0.4898989898989899	0.05150524761204834
