	Pf_antigen_ID	weight
3215	PF3D7_1121600.iso1.exon2.amp1_2679	-0.4299510611693327
6908	PF3D7_0223300.iso1.exon2.amp1_3611	-0.32935623635084127
3968	PF3D7_1002100.2o2_2704	-0.25718145007512805
21	PFE1590w_2119	-0.22984551743042955
2641	PF3D7_1213200.1o1_57	-0.22077456382606667
4483	PF3D7_0833300.iso1.exon1.amp1_1870	-0.20074980627240308
3486	PF3D7_1041100.iso1.exon2.amp1_3013	-0.17844761486478125
4797	PF3D7_0808200.e1s1_5118	-0.17646650890994794
4220	PF3D7_0920800.e1s1_251	-0.1589364961063952
3541	PF3D7_1035200.1o1_117	-0.15888538837253802
4503	PF3D7_0831500.iso1.exon2.amp1_2951	-0.13951371311769145
67	PFB0300c_4064	-0.13517776347107766
2686	PF3D7_1209500.iso2.exon2.amp1_3320	-0.11770997011017223
3348	PF3D7_1111800.iso1.exon1.amp1_2132	-0.09480963934528595
6562	PF3D7_0400400.iso1.exon1.amp1_1294	-0.09359909355373101
6222	PF3D7_0425800.iso1.exon2.amp1_4183	-0.05932278956997844
3482	PF3D7_1041300.iso1.exon2.amp2_787	-0.05821150978226608
5004	PF3D7_0726400.e5s1_1866	-0.05392783944675211
1088	PF3D7_1405500.1o1_2703	-0.053332132590856625
6907	PF3D7_0223400.iso1.exon2.amp1_1856	-0.045292725231541424
2074	PF3D7_1300900.iso1.exon1.amp1_4455	-0.040576247072757095
2509	PF3D7_1223800.iso1.exon1.amp1_short_2872	-0.04038695004771216
1144	PF3D7_1401900.iso1.exon4.amp1_3493	-0.038937397273253356
1534	PF3D7_1343800.iso1.exon1.amp4_1088	-0.03614193292671759
4482	PF3D7_0833400.iso1.exon3.amp1_4185	-0.029847421431125468
2264	PF3D7_1240400.iso1.exon2.amp1_1013	-0.027594958723871493
1017	PF3D7_1410400.e1s1_2878	-0.025523781680799565
7095	PF3D7_0207600.e2s1_4137	-0.02321789139997274
2836	PF3D7_1150400.iso1.exon2.amp1_714	-0.017306162297189943
3536	PF3D7_1035800.1o1_452	-0.01657058962778671
6553	PF3D7_0401000.iso1.exon1.amp1_2432	-0.015937084276285582
2080	PF3D7_1300400.iso1.exon2.amp1_1295	-0.007023827683131188
4699	PF3D7_0816700.iso1.exon3.amp1_4095	-0.0016492242296965776
368	PF3D7_1458400.1o1_706	0.013082609898921887
3182	PF3D7_1123200.iso1.exon1.amp1_3335	0.013122351450383016
1124	PF3D7_1403300.e1s2_3828	0.0180049821573232
174	PF3D7_1473000.1o1_4886	0.025336974646511794
5972	PF3D7_0518700.e3s1_3800	0.027837567393225217
7224	PF3D7_0113300.2o2_759	0.045492503517052967
7276	PF3D7_0109100.e2s1_2105	0.09915269313778798
2898	PF3D7_1145400.e1s1_4164	0.12358051517110046
3106	PF3D7_1129000.e2s1_2830	0.14810822314224148
187	PF3D7_1472200.e1s3_5059	0.18833723954547507
4850	PF3D7_0804500.e3_3113	0.1968335496594216
62	PFC0210c_2763	0.40383530544841395
0	Dose	0.562931441410331
