	importance
PF3D7_1240900.iso1.exon3.amp1_1880	-1.354472090042691e-16
PF3D7_1459600.iso1.exon2.amp1_2130	-1.1102230246251565e-16
PF3D7_0207000.e1_2796	-6.661338147750939e-17
PF3D7_0800200.e2s1_1226	-6.217248937900877e-17
PF3D7_0823500.1o1_1393	-5.10702591327572e-17
PF3D7_1436100.iso1.exon1.amp2_seg1_4042	-5.10702591327572e-17
PF3D7_0202500.1o1_2941	-5.10702591327572e-17
PF3D7_1301500.2o2_4588	-4.218847493575595e-17
PF3D7_1150300.iso1.exon1.amp1_2740	-3.9968028886505634e-17
PF3D7_1318000.1o1_1002	-3.7747582837255325e-17
PF3D7_1464500.iso1.exon1.amp2_1073	-3.552713678800501e-17
PF3D7_0600300.iso1.exon1.amp1_1286	-3.552713678800501e-17
PF3D7_0719900.iso1.exon1.amp2_527	-3.3306690738754695e-17
PFB0300c_4064	-3.3306690738754695e-17
PF3D7_1333300.1o1_44	-3.3306690738754695e-17
PF3D7_0804500.e3_3113	-3.1086244689504386e-17
PF3D7_1300200.iso1.exon1.amp1_3602	-3.1086244689504386e-17
PF3D7_1415500.iso1.exon2.amp1_2259	-3.1086244689504386e-17
PF3D7_1147800.1.e2s2_1154	-3.1086244689504386e-17
PF3D7_1101200.iso1.exon1.amp1_3319	-2.886579864025407e-17
PF3D7_1358600.iso1.exon1.amp2_2507	-2.886579864025407e-17
PF3D7_0525800.e1s1_2193	-2.6645352591003756e-17
PF3D7_1450400.iso1.exon1.amp2_1326	-2.6645352591003756e-17
PF3D7_1036400.1o2_1668	-2.4424906541753444e-17
PF3D7_1370300.1o2_3612	-2.4424906541753444e-17
PF3D7_0921200.2o6_4038	-2.4424906541753444e-17
PF3D7_0704700.iso1.exon1.amp2_seg2_1442	-2.2204460492503132e-17
PF3D7_0324900.iso1.exon1.amp1_2456	-2.2204460492503132e-17
PF3D7_0223300 (renamed)_2205	-2.2204460492503132e-17
PF3D7_1001700.2o2_4910	-1.9984014443252817e-17
PF3D7_1433400.e1_4423	-1.9984014443252817e-17
PF3D7_1409400.1o1_3272	-1.9984014443252817e-17
PF3D7_0712800.iso1.exon1.amp1_3904	-1.9984014443252817e-17
PF3D7_0704700.iso1.exon1.amp2_seg1_1140	-1.9984014443252817e-17
PF3D7_1358600.iso1.exon1.amp2_2507.1	-1.9984014443252817e-17
PF3D7_0832300.2o2_3619	-1.7763568394002505e-17
