	importance
PF3D7_0501000.e2s1_563	1.3322676295501878e-17
PF3D7_1433400.e1_4423	1.5543122344752193e-17
PF3D7_0315400.1o1_3943	1.7763568394002505e-17
PF3D7_1301500.2o2_4588	2.4424906541753444e-17
PF3D7_1008100.s3_1478	2.886579864025407e-17
PF3D7_0220000.e2s1_2785	4.4408920985006264e-17
PF3D7_0823500.1o1_1393	4.4408920985006264e-17
PF3D7_1121600.iso1.exon2.amp1_2679	4.884981308350689e-17
PF3D7_1419400.e3s1_4118	4.884981308350689e-17
PF3D7_1448300.s1_3431	5.329070518200751e-17
PF3D7_0614900.2o3_5017	5.995204332975846e-17
PF3D7_0719500.1o2_3982	7.771561172376095e-17
PF3D7_0600500.iso1.exon2.amp1_130	8.43769498715119e-17
PF3D7_0601100.2o2_688	8.881784197001253e-17
PF3D7_1475400.e3s4_1159	9.769962616701378e-17
PF3D7_1147800.iso2.exon2.amp1_4258	9.992007221626409e-17
PF3D7_1128500.1o1_4665	1.1324274851176597e-16
PF3D7_1358600.iso1.exon1.amp2_2507.1	1.176836406102666e-16
PF3D7_1252800.2o2_1074	1.176836406102666e-16
PF3D7_0712800.iso1.exon1.amp1_3904	1.176836406102666e-16
PF3D7_0703700.e1s1_4460	1.176836406102666e-16
PF3D7_1358600.iso1.exon1.amp1_1754	1.2212453270876723e-16
PF3D7_1459600.iso1.exon2.amp1_2130	1.2212453270876723e-16
PF3D7_1333300.1o1_44	1.2434497875801754e-16
PF3D7_0206900.1.1o2_50	1.2434497875801754e-16
PF3D7_1445600.e4_4738	1.2434497875801754e-16
PF3D7_1358600.iso1.exon1.amp2_2507	1.2656542480726783e-16
PF3D7_1021700.e1s3_3848	1.2878587085651815e-16
PF3D7_0906200.1o1_3357	1.3322676295501878e-16
PF3D7_0425100.2o2_3932	1.354472090042691e-16
PF3D7_0731200.2o2_4270	1.376676550535194e-16
PF3D7_0726100.2o2_2403	1.4210854715202004e-16
PF3D7_1418100.s3_5039	1.4210854715202004e-16
PF3D7_1142100.e1s1_2891	1.4210854715202004e-16
PF3D7_0930300.s2_4726	1.4432899320127036e-16
PF3D7_1464500.iso1.exon1.amp1_seg2_2304	1.4654943925052067e-16
PF3D7_1209300.e1s1_592	1.4876988529977099e-16
PF3D7_0804500.e3_3113	1.509903313490213e-16
PF3D7_0424800.2o2_2002	1.532107773982716e-16
PF3D7_1467000.1o1_2718	1.554312234475219e-16
PF3D7_0912200.1o1_2676	1.554312234475219e-16
PF3D7_0301800.2o2_4915	1.554312234475219e-16
PFB0300c_4064	1.554312234475219e-16
PF3D7_1476600.e2_172	1.554312234475219e-16
PF3D7_1460100.1o1_4266	1.5765166949677222e-16
PF3D7_0728600.iso1.exon3.amp1_2396	1.5765166949677222e-16
PF3D7_0713900.e1s3_1278	1.5765166949677222e-16
PF3D7_1436100.iso1.exon1.amp1_813	1.5987211554602254e-16
PF3D7_1025400.2o3_1100	1.5987211554602254e-16
PF3D7_0730900.e2s1_4490	1.5987211554602254e-16
PF3D7_1016500.e2s1_4172	1.5987211554602254e-16
PF3D7_1016600.2o2_1688	1.6209256159527285e-16
PF3D7_1201400.iso1.exon1.amp2_2193	1.6431300764452317e-16
PF3D7_1348400.iso1.exon3.amp1_3375	1.6653345369377348e-16
PF3D7_1409400.1o1_3272	1.709743457922741e-16
PF3D7_1133200.e1s2_486	1.7319479184152443e-16
PF3D7_0207000.e1_2796	1.7541523789077474e-16
PF3D7_1459600.iso1.exon1.amp1_3337	1.7541523789077474e-16
PF3D7_1479400.iso1.exon2.amp1_140	1.7541523789077474e-16
PF3D7_1324300.e3_2147	1.7763568394002506e-16
PF3D7_1348400.iso1.exon2.amp1_1215	1.7763568394002506e-16
PF3D7_0900500.iso1.exon1.amp1_4464	1.7763568394002506e-16
PF3D7_0301700.e1s1_3787	1.7763568394002506e-16
PF3D7_1333300.1o1_44.1	1.7985612998927537e-16
PF3D7_1208800.e1s1_2209	1.7985612998927537e-16
PF3D7_0410800.iso1.exon1.amp2_1340	1.7985612998927537e-16
PF3D7_0630600.2o2_4033	1.8207657603852566e-16
PF3D7_1476100.1o1_1649	1.8207657603852566e-16
PF3D7_1443800.1o1_3332	1.8207657603852566e-16
PF3D7_0532500.2o2_997	1.8207657603852566e-16
PF3D7_1137300.1o1_1747	1.8207657603852566e-16
PF3D7_1136200.5o5_4981	1.8207657603852566e-16
PF3D7_1001700.2o2_4910	1.8207657603852566e-16
PFE1590w_2119	1.8429702208777598e-16
PF3D7_0725100.e2s1_4117	1.8429702208777598e-16
PF3D7_0223100.iso1.exon2.amp1_989	1.8429702208777598e-16
PF3D7_0712300.iso1.exon1.amp1_3615	1.8429702208777598e-16
PF3D7_0207000.1o2_2324	1.887379141862766e-16
PF3D7_1447800.e1s2_2899	1.887379141862766e-16
PF3D7_1468400.1o1_2724	1.9095836023552692e-16
PF3D7_1135300.1o1_2354	1.9095836023552692e-16
PF3D7_0800200.e1s3_2882	1.9095836023552692e-16
PF3D7_1436100.iso1.exon1.amp2_seg1_4042	1.9095836023552692e-16
PF3D7_1202300.e3s1_1897	1.9095836023552692e-16
PF3D7_0525800.e1s1_2193	1.9317880628477724e-16
PF3D7_1318000.1o1_1002	1.9317880628477724e-16
PF3D7_1401700.1o1_2648	1.9317880628477724e-16
PF3D7_0223300.iso1.exon2.amp1_3611	1.9539925233402755e-16
PF3D7_1240400.iso1.exon2.amp1_1013	1.9539925233402755e-16
PF3D7_0704700.iso1.exon1.amp2_seg2_1442	1.9539925233402755e-16
PF3D7_1373000.iso1.exon2.amp1_1568	1.9539925233402755e-16
PF3D7_1401600.e3s1_1875	1.9539925233402755e-16
PF3D7_1470100.e1s3_3204	1.9539925233402755e-16
PF3D7_0405900.e4s1_1223	1.9761969838327787e-16
PF3D7_0712000.iso1.exon1.amp1_145	1.9761969838327787e-16
PF3D7_1215900.1o1_1409	1.9761969838327787e-16
PF3D7_0704700.iso1.exon1.amp2_seg1_1140	1.9761969838327787e-16
PF3D7_1248300.1o1_1976	1.9761969838327787e-16
PF3D7_1447800.e1s1_3223	1.9761969838327787e-16
PF3D7_0818500.e2_851	1.9761969838327787e-16
PF3D7_1233400.2o4_89	1.9984014443252818e-16
PF3D7_0206900.1.e1_4416	1.9984014443252818e-16
PF3D7_1229000.iso1.exon1.amp2_2206	1.9984014443252818e-16
PF3D7_1008100.s4_830	1.9984014443252818e-16
PF3D7_0402400.2o2_48	1.9984014443252818e-16
PF3D7_0703500.e2s3_4496	2.020605904817785e-16
PF3D7_0412400.iso1.exon1.amp1_3330	2.020605904817785e-16
PF3D7_1348400.iso1.exon2.amp1_1215.1	2.020605904817785e-16
PF3D7_1001800.2o2_1977	2.020605904817785e-16
PF3D7_1370300.1o2_3612	2.020605904817785e-16
PF3D7_1347300.iso1.exon2.amp1_2070	2.020605904817785e-16
PF3D7_1202300.e10s1_885	2.042810365310288e-16
PF3D7_0223300 (renamed)_2205	2.042810365310288e-16
PF3D7_1349700.2o2_3937	2.042810365310288e-16
PF3D7_1233400.1o4_737	2.042810365310288e-16
PF3D7_1400800.iso1.exon1.amp1_3878	2.042810365310288e-16
PF3D7_0200600.iso1.exon1.amp1_2442	2.042810365310288e-16
PF3D7_1300200.iso1.exon1.amp1_3602	2.042810365310288e-16
PF3D7_1419400.e1s2_1898	2.042810365310288e-16
PF3D7_1202300.e33s1_584	2.042810365310288e-16
PF3D7_1300100.iso1.exon1.amp1_499	2.042810365310288e-16
PF3D7_0600400.iso1.exon1.amp1_3033	2.042810365310288e-16
PF3D7_1450400.iso1.exon1.amp2_1326	2.0650148258027913e-16
PF13_0197_176	2.0650148258027913e-16
PF3D7_1147800.1.e2s2_1154	2.0650148258027913e-16
PF3D7_0935600.1o2_3662	2.0650148258027913e-16
PF3D7_1474600.4o5_1047	2.0650148258027913e-16
