	importance
PF3D7_1405200.iso1.exon1.amp1_3269	-7.105427357601002e-17
PF3D7_1459800.1o4_3952	-4.218847493575595e-17
PF3D7_1435300.e1s1_3521	-3.1086244689504386e-17
PF3D7_0823900.1o1_4271	-2.886579864025407e-17
PF3D7_0625100.1o1_416	-2.6645352591003756e-17
PF3D7_1360400.1o1_1348	-2.6645352591003756e-17
PF3D7_1107000.iso1.exon3.amp1_1208	-2.6645352591003756e-17
PF3D7_1471600.iso1.exon1.amp1_3146	-2.6645352591003756e-17
PF3D7_0402400.2o2_48	-2.4424906541753444e-17
PF3D7_1304300.1o1_4251	-2.4424906541753444e-17
PF3D7_1348800.2o4_3719	-2.2204460492503132e-17
PF3D7_1458700.1o1_719	-2.2204460492503132e-17
PF3D7_1469800.3o3_369	-1.9984014443252817e-17
PF3D7_1136300.e2s2_4094	-1.9984014443252817e-17
PFC0210c_2763	-1.9984014443252817e-17
PF3D7_1474400.iso1.exon15.amp1_4083	-1.5543122344752193e-17
PF3D7_1474400.iso1.exon9.amp1_2080	-1.5543122344752193e-17
PF3D7_1454300.iso1.exon1.amp1_2179	-1.5543122344752193e-17
PF3D7_0713600.iso1.exon1.amp1_3623	-1.5543122344752193e-17
PF3D7_0200600.iso1.exon1.amp1_2442	-1.3322676295501878e-17
PF3D7_0931900.2o4_1981	-1.3322676295501878e-17
PF3D7_1136200.5o5_4981	-1.3322676295501878e-17
PF3D7_1464300.iso1.exon2.amp1_3855	-1.3322676295501878e-17
PF3D7_0909700.iso1.exon1.amp1_1703	-1.3322676295501878e-17
PF3D7_0628200.s3 (renamed)_186	-1.3322676295501878e-17
PF3D7_1473400.1o1_3382	-1.3322676295501878e-17
PF3D7_0324600.iso1.exon2.amp1_3003	-1.1102230246251566e-17
PF3D7_1439200.iso1.exon1.amp1_4461	-1.1102230246251566e-17
PF3D7_1449700.iso1.exon1.amp1_4303	-1.1102230246251566e-17
PF3D7_0416900.iso1.exon2.amp3_seg2_4351	-1.1102230246251566e-17
PF3D7_0406500.iso1.exon2.amp4_169	-1.1102230246251566e-17
Dose	-8.881784197001253e-18
PF3D7_0223300 (renamed)_2205	-8.881784197001253e-18
PF3D7_0726400.e5s1_1866	-8.881784197001253e-18
PFC10_API0027.iso1.exon1.amp1_309	-8.881784197001253e-18
PF3D7_0527600.6o10_400	-8.881784197001253e-18
PF3D7_1452800.2o4_1661	-8.881784197001253e-18
PF3D7_1414900.iso1.exon1.amp2_3654	-8.881784197001253e-18
PF3D7_0715300.1o3_90	-8.881784197001253e-18
PF3D7_1476600.e2_172	-8.881784197001253e-18
PF3D7_1036400.1o2_1668	-6.661338147750939e-18
PF3D7_1101700.iso1.exon2.amp1_2140	-6.661338147750939e-18
PF3D7_0217900.e1s1_3492	-6.661338147750939e-18
PF3D7_1402400.1o1_3330	-6.661338147750939e-18
PF3D7_1444100.e6s1_4483	-6.661338147750939e-18
PF3D7_1417300.iso1.exon1.amp2_808	-6.661338147750939e-18
PF3D7_1300200.iso1.exon1.amp1_3602	-4.440892098500626e-18
PF3D7_0212100.e1s2_1265	-4.440892098500626e-18
PF3D7_1431900.1o10_2664	-4.440892098500626e-18
PF3D7_0704800.iso1.exon1.amp2_1629	-4.440892098500626e-18
PF3D7_1019000.e1s1_2225	-4.440892098500626e-18
PF3D7_0800200.e2s1_1226	-4.440892098500626e-18
PF3D7_1237300.iso1.exon3.amp1_116	-4.440892098500626e-18
PF3D7_1343400.iso1.exon3.amp1_4541	-4.440892098500626e-18
PF3D7_1001700.2o2_4910	-4.440892098500626e-18
PF3D7_1435300.e1s4_280	-4.440892098500626e-18
PF3D7_1032900.e1s1_2896	-4.440892098500626e-18
PF3D7_1347000.iso1.exon1.amp1_3538	-4.440892098500626e-18
PF3D7_0921900.iso1.exon1.amp1_3281	-4.440892098500626e-18
PF3D7_0705500.iso1.exon2.amp2_3383	-4.440892098500626e-18
PF3D7_1438800.2o4_4658	-4.440892098500626e-18
PF3D7_1445200.iso1.exon3.amp1_2402	-2.220446049250313e-18
PF3D7_0422500.e1s2_4050	-2.220446049250313e-18
PF3D7_1449800.1o1_1655	-2.220446049250313e-18
PF3D7_1123000.iso1.exon1.amp2_3426	-2.220446049250313e-18
PF3D7_1471800.1o1_1020	-2.220446049250313e-18
PF3D7_1315000.1o2_4575	-2.220446049250313e-18
PF3D7_1469900.iso1.exon2.amp1_1782	-2.220446049250313e-18
PF3D7_1127900.3o3_2030	-2.220446049250313e-18
PF3D7_1405900.iso1.exon1.amp1_3695	-2.220446049250313e-18
PF3D7_1439000.1o2_2633	-2.220446049250313e-18
PF3D7_1014600.e1s3_2248	-2.220446049250313e-18
PF3D7_1113700.e1s1_4142	-2.220446049250313e-18
PF3D7_1429400.iso1.exon1.amp2_3413	-2.220446049250313e-18
PF3D7_1464200.iso1.exon1.amp1_1857	-2.220446049250313e-18
PF3D7_1312800.iso1.exon1.amp2_2260	-2.220446049250313e-18
PF3D7_0902000.2o3_2060	-2.220446049250313e-18
PF3D7_1337400.iso1.exon1.amp1_1292	-2.220446049250313e-18
