	importance
PF3D7_0931900.2o4_1981	-9.103828801926283e-17
PF3D7_1373000.iso1.exon2.amp1_1568	-6.439293542825907e-17
PF3D7_0507700.e1s1_900	-3.9968028886505634e-17
PF3D7_1454800.1o1_1978	-3.7747582837255325e-17
PF3D7_1221500.1o1_2069	-3.3306690738754695e-17
PF3D7_0200600.iso1.exon1.amp1_2442	-3.1086244689504386e-17
PF3D7_1469100.1o1_1993	-3.1086244689504386e-17
PF3D7_1205900.e1s1_1234	-2.6645352591003756e-17
PF3D7_1205200.1o1_2332	-2.4424906541753444e-17
PF3D7_1340100.1o1_699	-2.4424906541753444e-17
PF3D7_1464600.iso1.exon1.amp2_2536	-2.2204460492503132e-17
PF3D7_1471600.iso1.exon1.amp1_3146	-2.2204460492503132e-17
PF3D7_0705500.iso1.exon2.amp2_3383	-2.2204460492503132e-17
PF3D7_0304700.3o4_1066	-1.9984014443252817e-17
PF3D7_0728000.e2_2140	-1.7763568394002505e-17
PF3D7_1300200.iso1.exon1.amp1_3602	-1.7763568394002505e-17
PF3D7_0402400.2o2_48	-1.7763568394002505e-17
PF3D7_0223300.iso1.exon2.amp1_3611	-1.7763568394002505e-17
PF3D7_1405500.1o1_2703	-1.5543122344752193e-17
PF3D7_1427600.1o1_3329	-1.5543122344752193e-17
Dose	-1.5543122344752193e-17
PFC10_API0018.iso1.exon1.amp1_2911	-1.3322676295501878e-17
PF3D7_1439400.e1s1_1231	-1.3322676295501878e-17
PF3D7_1440200.6o6_4684	-1.3322676295501878e-17
PF3D7_1240400.iso1.exon2.amp1_1013	-1.3322676295501878e-17
PF3D7_0324600.iso1.exon2.amp1_3003	-1.3322676295501878e-17
PF3D7_1429400.iso1.exon1.amp2_3413	-1.1102230246251566e-17
PF3D7_1439000.1o2_2633	-1.1102230246251566e-17
PF3D7_1404100.e2s1_877	-1.1102230246251566e-17
PF3D7_1433100.iso1.exon2.amp1_450	-1.1102230246251566e-17
PF3D7_1464200.iso1.exon1.amp1_1857	-1.1102230246251566e-17
PF3D7_1476000.iso1.exon2.amp1_896	-1.1102230246251566e-17
PF3D7_1036400.1o2_1668	-1.1102230246251566e-17
PF3D7_1474400.iso1.exon15.amp1_4083	-1.1102230246251566e-17
PF3D7_0223300 (renamed)_2205	-8.881784197001253e-18
PF3D7_0422100 (renamed)_2667	-8.881784197001253e-18
PF3D7_0803700.e1s1_1546	-8.881784197001253e-18
PF3D7_0801500.e1s1_1228	-8.881784197001253e-18
PF3D7_1474200.iso1.exon2.amp1_645	-8.881784197001253e-18
PF3D7_1017900.e2s1_1227	-8.881784197001253e-18
PF3D7_1368800.e1s1_1263	-8.881784197001253e-18
PF3D7_1402400.1o1_3330	-8.881784197001253e-18
PF3D7_0728800.iso1.exon1.amp1_4481	-8.881784197001253e-18
PF3D7_0909700.iso1.exon1.amp1_1703	-8.881784197001253e-18
PFC10_API0027.iso1.exon1.amp1_309	-8.881784197001253e-18
PF3D7_1438800.2o4_4658	-8.881784197001253e-18
PF3D7_0805300.iso1.exon1.amp2_1057	-8.881784197001253e-18
