	Pf_antigen_ID	weight
383	PF3D7_1121600.iso1.exon2.amp1_2679	-0.8080788496618788
1073	PF3D7_0223300.iso1.exon2.amp1_3611	-0.5937770752894892
3	PFB0300c_4064	-0.338357205702658
594	PF3D7_0833300.iso1.exon1.amp1_1870	-0.32171042641731334
439	PF3D7_1035200.1o1_117	-0.30675868008488255
416	PF3D7_1041100.iso1.exon2.amp1_3013	-0.29701898638697966
606	PF3D7_0831500.iso1.exon2.amp1_2951	-0.2961791053173911
593	PF3D7_0833400.iso1.exon3.amp1_4185	-0.23633942070667752
1015	PF3D7_0401000.iso1.exon1.amp1_2432	-0.11155401391280793
805	PF3D7_0703700.e1s1_4460	-0.10367569310440239
721	PF3D7_0726400.e5s1_1866	-0.08199640364825647
1039	PF3D7_0315400.1o1_3943	-0.07489073441708806
834	PF3D7_0632300.iso1.exon2.amp1_423	-0.037610643353121954
978	PF3D7_0419700.1o1_3942	-0.026091194383303744
939	PF3D7_0425800.iso1.exon2.amp1_4183	-0.02520193090819008
1023	PF3D7_0400400.iso1.exon1.amp1_1294	-0.01367833864534152
1078	PF3D7_0222700.iso1.exon2.amp1_1289	-0.010401785532796203
1072	PF3D7_0223400.iso1.exon2.amp1_1856	-0.001297446495577248
849	PF3D7_0619800.iso1.exon1.amp3_747	0.0009246448612311244
531	PF3D7_0936500.iso1.exon1.amp1_973	0.040684237994273204
989	PF3D7_0412700.iso1.exon2.amp2_1081	0.09097915411354401
1151	PF3D7_0113300.2o2_759	0.1770131794020422
663	PF3D7_0804500.e3_3113	0.4218124838232565
2	PFC0210c_2763	0.6618615834024897
0	Dose	0.6837635042216856
